name|pa|ab|h|hr|r|rbi|sb|so|bb|hbp|sf|x1b|x2b|x3b
Joey Wiemer|22|17|10|2|7|4|0|4|5|0|0|7|0|1
Yordan Alvarez|34|25|10|3|8|7|1|4|6|2|1|4|3|0
Shea Langeliers|30|27|9|5|6|8|0|9|3|0|0|4|0|0
Ben Rice|26|22|9|2|7|8|0|6|4|0|0|3|4|0
Brandon Lowe|26|21|7|3|3|4|0|5|5|0|0|2|2|0
Andy Pages|26|25|12|2|3|7|0|3|1|0|0|9|1|0
Wilyer Abreu|28|28|11|3|4|6|0|6|0|0|0|5|3|0
Yandy Diaz|33|30|13|2|6|8|0|5|3|0|0|10|1|0
Jose Altuve|33|24|8|2|8|3|1|6|9|0|0|5|1|0
Andres Gimenez|28|26|9|2|2|7|2|5|2|0|0|6|0|1
Chandler Simpson|27|24|10|0|3|1|2|2|3|0|0|9|0|1
Kyle Isbel|18|18|9|2|4|4|3|3|0|0|0|7|0|0
Liam Hicks|23|19|7|3|6|12|0|1|1|2|1|3|1|0
Sal Stewart|30|23|9|2|5|3|0|4|7|0|0|4|3|0
Chase DeLauter|27|26|9|5|6|8|0|7|1|0|0|4|0|0
Brice Turang|27|22|9|1|6|5|2|5|4|0|0|4|4|0
Brandon Nimmo|33|29|11|1|7|4|1|7|3|1|0|8|1|1
Nico Hoerner|30|24|7|0|5|3|4|4|5|0|1|3|4|0
Brendan Donovan|33|27|10|2|4|4|1|6|4|2|0|6|2|0
Ryan O'Hearn|27|21|8|2|4|7|0|4|5|0|1|6|0|0
Francisco Alvarez|25|21|6|3|5|3|0|5|2|1|0|2|1|0
Owen Caissie|26|23|8|2|4|9|1|7|2|0|1|4|2|0
Xavier Edwards|28|26|11|1|7|1|1|3|1|0|0|9|1|0
Corey Seager|32|26|7|3|6|5|0|8|5|0|1|4|0|0
Corbin Carroll|32|26|7|2|5|8|0|7|5|0|1|3|1|1
Matt Olson|34|32|10|2|6|6|0|11|2|0|0|4|4|0
Ozzie Albies|34|31|11|2|6|3|0|3|3|0|0|9|0|0
Drake Baldwin|36|32|9|3|9|8|0|3|4|0|0|5|1|0
Kevin McGonigle|29|26|9|0|4|5|0|3|3|0|0|5|3|1
Mauricio Dubon|27|25|9|1|4|6|0|5|2|0|0|7|1|0
Cole Young|30|29|9|1|5|5|0|10|1|0|0|5|2|1
Randy Arozarena|35|28|8|0|7|2|1|3|6|1|0|5|3|0
Cam Smith|33|27|6|1|6|1|2|9|5|1|0|4|1|0
Gary Sanchez|8|6|3|2|3|3|0|3|2|0|0|1|0|0
Ildemaro Vargas|9|9|5|1|2|2|0|0|0|0|0|3|1|0
Javier Sanoja|12|12|7|0|1|3|0|1|0|0|0|5|2|0
Jose Fernandez|9|9|3|2|2|4|0|1|0|0|0|1|0|0
Connor Wong|10|10|5|0|0|1|0|3|0|0|0|2|3|0
Mark Vientos|14|12|5|1|2|2|0|3|2|0|0|3|1|0
Dominic Canzone|17|15|5|2|5|3|1|2|1|1|0|2|1|0
Trevor Larnach|12|8|3|0|2|2|0|1|4|0|0|1|2|0
Dominic Smith|19|17|6|2|6|5|0|4|2|0|0|4|0|0
Josh Bell|30|23|6|2|9|7|0|10|5|1|1|1|3|0
Marcelo Mayer|20|17|5|1|5|2|0|6|2|0|0|1|3|0
Dillon Dingler|22|20|6|2|3|7|0|6|1|1|0|3|1|0
Giancarlo Stanton|25|25|10|1|2|4|0|5|0|0|0|7|2|0
T.J. Rumfield|27|24|9|1|3|3|0|7|3|0|0|7|1|0
Ramon Laureano|23|22|7|2|3|4|1|5|1|0|0|4|1|0
Munetaka Murakami|30|25|6|3|5|4|0|11|5|0|0|3|0|0
Mike Trout|37|25|6|2|7|3|2|9|11|1|0|4|0|0
Nick Fortes|25|23|8|1|3|6|0|3|1|1|0|5|2|0
Colt Keith|24|22|8|0|4|2|0|6|2|0|0|4|4|0
Adley Rutschman|21|17|5|0|1|2|0|2|4|0|0|1|4|0
Jordan Lawlar|20|18|6|1|3|2|1|6|1|1|0|4|1|0
Jake Burger|31|30|10|2|5|6|0|12|0|1|0|6|2|0
Juan Soto|34|31|11|1|3|5|0|6|3|0|0|8|2|0
Max Muncy|27|26|7|2|6|5|1|10|1|0|0|2|3|0
Otto Lopez|28|25|7|1|5|2|1|5|2|1|0|4|1|1
Taylor Ward|33|27|9|0|2|5|0|7|5|0|1|6|3|0
Luis Robert Jr.|33|25|7|1|4|6|0|5|8|0|0|6|0|0
Maikel Garcia|25|19|6|0|3|3|1|2|5|0|1|5|1|0
Cody Bellinger|30|25|7|0|6|0|2|4|5|0|0|5|1|1
J.T. Realmuto|24|19|4|1|3|1|0|5|3|2|0|2|1|0
Kazuma Okamoto|31|28|7|2|4|3|0|15|3|0|0|5|0|0
Jacob Young|19|17|4|1|2|3|1|3|2|0|0|2|1|0
Carlos Correa|32|29|8|1|5|7|0|4|3|0|0|6|1|0
Francisco Lindor|38|27|5|0|7|0|1|5|10|1|0|3|0|2
Pete Crow-Armstrong|29|26|7|0|5|3|3|8|2|0|0|6|1|0
Daniel Susac|4|3|3|0|0|0|0|0|1|0|0|3|0|0
Rafael Marchan|4|3|1|1|1|2|0|0|0|1|0|0|0|0
Leody Taveras|6|4|2|0|1|2|0|2|2|0|0|1|1|0
Myles Straw|6|6|4|0|3|0|0|0|0|0|0|4|0|0
Miguel Amaya|11|10|4|1|3|3|0|1|1|0|0|2|1|0
Tristan Gray|14|11|4|1|1|8|0|4|2|0|1|2|1|0
Andrew McCutchen|17|16|6|1|3|4|0|4|1|0|0|3|2|0
Griffin Conine|13|12|4|1|3|2|1|3|1|0|0|2|1|0
Luke Raley|20|19|5|3|4|6|0|6|1|0|0|2|0|0
Jonny DeLuca|16|15|5|1|4|4|0|2|1|0|0|3|1|0
Kyle Schwarber|32|25|5|3|4|5|0|11|5|2|0|1|1|0
Christian Yelich|23|21|8|1|5|7|1|7|2|0|0|7|0|0
Brady House|30|26|9|1|6|3|0|8|4|0|0|7|1|0
Brandon Lockridge|16|15|6|0|4|3|1|2|1|0|0|5|1|0
Royce Lewis|25|21|4|2|6|5|1|8|3|1|0|0|2|0
Brandon Marsh|27|25|8|1|3|5|1|4|2|0|0|5|2|0
Daylen Lile|34|32|12|0|7|3|0|4|2|0|0|9|3|0
Jonathan Aranda|34|28|7|2|4|5|0|6|5|0|1|4|1|0
Jake Bauers|23|22|6|2|6|4|2|6|1|0|0|4|0|0
Jac Caglianone|20|18|6|0|3|0|0|5|1|1|0|4|2|0
Jesus Sanchez|25|21|6|1|4|4|0|5|2|2|0|5|0|0
Elly De La Cruz|31|28|6|3|4|3|0|12|3|0|0|3|0|0
CJ Abrams|28|26|7|2|4|10|0|5|1|1|0|5|0|0
Mike Yastrzemski|25|22|6|0|2|3|0|4|3|0|0|3|2|1
Max Muncy|23|19|5|1|4|1|0|7|4|0|0|4|0|0
Danny Jansen|21|21|6|1|2|6|0|5|0|0|0|3|2|0
Tristan Peters|22|20|7|0|1|1|1|8|2|0|0|6|1|0
Oswald Peraza|26|24|7|1|2|2|1|10|2|0|0|5|1|0
Zach Neto|37|30|6|2|7|3|1|8|7|0|0|3|1|0
Aaron Judge|30|27|5|3|4|6|1|12|2|1|0|2|0|0
Nolan Schanuel|33|29|7|2|3|5|0|5|4|0|0|5|0|0
Garrett Mitchell|18|14|4|0|3|5|3|7|3|0|0|3|1|0
William Contreras|27|23|5|1|4|5|0|4|4|0|0|2|2|0
Ezequiel Tovar|30|30|9|1|3|5|1|8|0|0|0|6|2|0
Nick Gonzales|28|27|9|0|4|5|1|6|1|0|0|7|2|0
Isaac Paredes|26|22|5|0|4|5|0|6|2|2|0|1|4|0
Evan Carter|23|20|5|0|4|0|0|6|3|0|0|2|3|0
Joey Ortiz|20|18|6|0|5|3|2|4|2|0|0|6|0|0
Freddie Freeman|30|28|6|2|3|5|0|1|1|1|0|3|1|0
