name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
JJ Bleday|CIN|2|1|1|1|0|0|1|1|1|0|0|0|0|1.0|1.0|4.0
Sebastián Rivero|LAA|4|0|0|0|0|0|0|2|4|0|0|0|0|0.5|0.5|0.5
Will Wilson|SEA|2|1|1|2|0|0|0|1|2|0|0|0|0|0.5|0.5|2.0
Daniel Susac|SFG|24|0|1|5|0|3|1|11|23|0|0|2|1|0.478|0.5|0.652
Elias Díaz|KCR|8|0|1|2|0|1|1|3|7|0|0|2|0|0.429|0.5|0.714
Alejandro Osuna|TEX|10|0|1|1|0|1|3|3|7|0|0|0|0|0.429|0.6|0.429
Braxton Fulford|COL|5|1|2|2|0|2|0|2|5|0|0|0|0|0.4|0.4|1.0
Carlos Cortes|ATH|70|4|8|13|0|4|7|24|62|0|1|5|1|0.387|0.457|0.694
Tyler Black|MIL|13|0|2|3|0|3|0|5|13|0|0|1|0|0.385|0.385|0.462
Ildemaro Vargas|ARI|86|6|18|20|0|10|3|30|81|0|0|6|2|0.37|0.393|0.716
Moisés Ballesteros|CHC|74|5|12|16|0|12|7|24|66|1|0|5|0|0.364|0.419|0.667
Yordan Alvarez|HOU|134|11|22|26|1|11|20|39|110|1|3|9|0|0.355|0.463|0.736
Vaughn Grissom|LAA|43|0|5|4|0|3|6|12|34|2|0|4|0|0.353|0.429|0.471
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0|2|0|0.35|0.391|0.45
Miguel Rojas|LAD|48|1|4|5|0|7|3|15|43|1|0|3|0|0.349|0.383|0.488
Dalton Rushing|LAD|49|7|13|16|0|12|4|15|43|0|2|2|0|0.349|0.429|0.884
Adley Rutschman|BAL|60|3|7|13|0|8|5|19|55|0|0|6|0|0.345|0.4|0.618
Taylor Trammell|HOU|33|0|4|4|1|9|4|10|29|0|0|1|1|0.345|0.424|0.448
Dominic Smith|ATL|69|4|11|17|0|9|2|22|64|1|1|2|0|0.344|0.368|0.563
Ryan Vilade|TBR|35|0|4|5|1|7|3|11|32|0|0|2|0|0.344|0.4|0.406
Luis Campusano|SDP|47|3|8|10|0|11|3|15|44|0|0|7|0|0.341|0.383|0.705
Vladimir Guerrero Jr.|TOR|122|2|16|15|2|15|14|36|106|0|2|7|0|0.34|0.426|0.462
Xavier Edwards|MIA|129|1|21|9|4|15|19|37|109|0|0|6|2|0.339|0.438|0.459
Kyle Farmer|ATL|10|0|1|3|0|2|0|3|9|1|0|1|0|0.333|0.3|0.444
Aramis Garcia|ARI|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Eric Haase|SFG|3|0|1|1|0|0|0|1|3|0|0|1|0|0.333|0.333|0.667
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|1|1|0|0.333|0.4|0.556
Yohendrick Pinango|TOR|3|0|0|0|0|0|0|1|3|0|0|0|0|0.333|0.333|0.333
Drew Romo|CHW|9|2|2|3|0|1|2|2|6|0|1|0|0|0.333|0.556|1.333
Garrett Stubbs|PHI|7|0|2|1|0|0|0|2|6|1|0|0|0|0.333|0.286|0.333
Ryan Ward|LAD|6|0|0|1|0|1|0|2|6|0|0|0|0|0.333|0.333|0.333
Nick Gonzales|PIT|103|0|12|15|2|19|5|32|97|0|1|5|0|0.33|0.369|0.381
Jose Fernandez|ARI|82|3|18|12|1|18|3|26|79|0|0|3|0|0.329|0.354|0.481
Seiya Suzuki|CHC|79|5|14|9|0|19|10|22|67|0|2|1|0|0.328|0.43|0.567
Kevin McGonigle|DET|127|2|22|12|2|16|16|36|110|0|1|11|2|0.327|0.417|0.518
Otto Lopez|MIA|123|3|20|12|4|24|6|37|114|1|2|7|2|0.325|0.366|0.5
Yandy Díaz|TBR|129|4|17|20|1|16|13|36|111|0|5|3|1|0.324|0.419|0.477
Andy Pages|LAD|119|5|16|25|4|26|8|35|108|2|1|7|0|0.324|0.37|0.528
Ryan O'Hearn|PIT|117|5|16|20|1|21|14|32|99|2|2|4|0|0.323|0.41|0.515
Austin Martin|MIN|80|1|11|6|3|13|18|19|59|1|2|4|0|0.322|0.488|0.441
Colt Keith|DET|88|0|14|6|0|18|4|27|84|0|0|7|0|0.321|0.352|0.405
Joey Wiemer|WSH|58|3|11|7|1|21|8|16|50|0|0|2|1|0.32|0.414|0.58
Michael Harris II|ATL|104|6|11|20|2|17|6|31|97|1|0|4|0|0.32|0.356|0.546
Josh Jung|TEX|109|4|12|15|1|18|10|31|97|1|1|11|0|0.32|0.385|0.557
Ty France|SDP|44|3|8|8|1|4|2|13|41|0|1|2|1|0.317|0.364|0.634
Javier Sanoja|MIA|66|0|1|9|2|7|6|19|60|0|0|3|0|0.317|0.379|0.367
Ozzie Albies|ATL|128|6|20|18|0|16|8|37|117|2|1|5|0|0.316|0.359|0.513
Shea Langeliers|ATH|127|8|19|14|0|31|10|37|117|0|0|6|0|0.316|0.37|0.573
Troy Johnston|COL|102|2|8|16|1|21|8|29|92|0|1|7|0|0.315|0.376|0.457
Luis Arraez|SFG|118|0|11|8|4|4|6|34|108|2|0|3|2|0.315|0.345|0.38
Christian Yelich|MIL|56|1|10|10|3|14|5|16|51|0|0|2|1|0.314|0.375|0.451
Miguel Andujar|SDP|68|0|6|6|1|13|3|20|64|0|1|6|1|0.313|0.353|0.438
Taylor Ward|BAL|136|1|15|11|1|20|22|35|112|1|1|13|0|0.313|0.426|0.455
Liam Hicks|MIA|100|6|17|27|1|8|5|28|90|3|2|3|0|0.311|0.35|0.544
Christian Vázquez|HOU|51|2|6|10|0|8|5|14|45|0|0|4|0|0.311|0.38|0.533
Daniel Schneemann|CLE|83|4|12|14|1|25|9|23|74|0|0|7|0|0.311|0.386|0.568
Mickey Moniak|COL|90|8|14|15|1|22|5|26|84|1|0|5|0|0.31|0.344|0.655
Ben Rice|NYY|118|10|26|23|1|31|21|29|94|2|1|8|0|0.309|0.432|0.713
Alex Call|LAD|33|0|6|2|0|3|6|8|26|0|1|2|0|0.308|0.455|0.385
Michael Conforto|CHC|34|0|3|5|0|10|7|8|26|1|0|3|0|0.308|0.441|0.423
Edouard Julien|COL|89|2|13|12|2|22|11|24|78|0|0|3|1|0.308|0.393|0.449
Chandler Simpson|TBR|125|0|14|6|10|10|7|35|114|1|0|1|2|0.307|0.344|0.351
Carson Kelly|CHC|88|2|12|10|0|15|12|23|75|0|1|4|0|0.307|0.409|0.44
Ernie Clement|TOR|121|0|9|7|1|9|3|36|118|0|0|13|0|0.305|0.322|0.415
Brendan Donovan|SEA|71|3|7|8|1|12|9|17|56|1|5|3|0|0.304|0.437|0.518
Jung Hoo Lee|SFG|113|2|13|10|0|15|8|31|103|2|0|8|1|0.301|0.345|0.456
Drake Baldwin|ATL|138|7|29|25|1|26|13|37|123|0|2|4|0|0.301|0.377|0.504
Juan Soto|NYM|59|2|4|7|0|8|9|15|50|0|0|2|0|0.3|0.407|0.46
Weston Wilson|BAL|13|0|4|2|1|5|2|3|10|0|1|1|0|0.3|0.462|0.4
Matt Olson|ATL|135|8|26|26|0|32|16|35|117|2|0|13|0|0.299|0.378|0.615
Christian Walker|HOU|122|7|19|23|0|22|13|32|107|1|1|9|0|0.299|0.377|0.579
Brandon Marsh|PHI|100|4|12|17|3|20|4|28|94|2|0|4|0|0.298|0.32|0.468
Wilyer Abreu|BOS|122|4|15|13|0|22|11|33|111|0|0|6|1|0.297|0.361|0.477
Randy Arozarena|SEA|130|2|21|11|7|28|14|33|111|2|3|9|1|0.297|0.385|0.45
Myles Straw|TOR|49|1|13|3|1|5|4|13|44|0|0|2|0|0.295|0.354|0.409
Hyeseong Kim|LAD|58|1|7|7|5|13|6|15|51|1|0|2|0|0.294|0.362|0.392
Nico Hoerner|CHC|141|4|16|26|7|14|13|36|123|2|3|8|0|0.293|0.369|0.455
Dane Myers|CIN|51|1|12|3|2|9|9|12|41|0|1|0|0|0.293|0.431|0.366
Riley Greene|DET|124|3|19|17|1|30|18|31|106|0|0|8|0|0.292|0.395|0.453
