name|pa|ab|h|hr|r|rbi|sb|so|bb|hbp|sf|x1b|x2b|x3b
Joey Wiemer|22|17|10|2|7|4|0|4|5|0|0|7|0|1
Yordan Alvarez|32|24|10|3|8|6|1|4|6|2|0|4|3|0
Shea Langeliers|25|24|9|5|5|8|0|8|1|0|0|4|0|0
Chandler Simpson|23|21|10|0|3|1|2|2|2|0|0|9|0|1
Liam Hicks|19|15|7|3|6|12|0|1|1|2|1|3|1|0
Sal Stewart|26|19|9|2|5|3|0|3|7|0|0|4|3|0
Wilyer Abreu|24|24|10|3|3|6|0|4|0|0|0|4|3|0
Jose Altuve|31|23|8|2|8|3|1|5|8|0|0|5|1|0
Brandon Lowe|22|18|6|3|3|4|0|3|4|0|0|2|1|0
Kyle Isbel|18|18|9|2|4|4|3|3|0|0|0|7|0|0
Brendan Donovan|30|24|10|2|4|4|1|6|4|2|0|6|2|0
Brice Turang|27|22|9|1|6|5|2|5|4|0|0|4|4|0
Corey Seager|28|22|7|3|6|5|0|5|5|0|1|4|0|0
Yandy Diaz|29|28|12|2|5|8|0|5|1|0|0|9|1|0
Mauricio Dubon|23|21|9|1|4|6|0|4|2|0|0|7|1|0
Andres Gimenez|24|22|8|1|1|5|2|3|2|0|0|6|0|1
Ben Rice|21|17|7|1|6|5|0|3|4|0|0|3|3|0
Ryan O'Hearn|23|19|8|2|3|6|0|3|4|0|0|6|0|0
Giancarlo Stanton|20|20|10|1|2|4|0|4|0|0|0|7|2|0
Ramon Laureano|19|18|7|2|3|4|1|4|1|0|0|4|1|0
T.J. Rumfield|23|21|9|1|3|3|0|5|2|0|0|7|1|0
Andy Pages|21|21|9|1|1|5|0|2|0|0|0|7|1|0
Munetaka Murakami|25|21|5|3|5|4|0|9|4|0|0|2|0|0
Corbin Carroll|28|24|7|2|5|8|0|6|3|0|1|3|1|1
Drake Baldwin|32|28|8|3|9|8|0|3|4|0|0|4|1|0
Kevin McGonigle|25|22|8|0|4|5|0|3|3|0|0|5|2|1
Brandon Nimmo|28|25|9|1|6|4|1|5|2|1|0|7|1|0
Kazuma Okamoto|27|24|7|2|4|3|0|11|3|0|0|5|0|0
Nico Hoerner|26|22|7|0|5|3|4|4|3|0|1|3|4|0
Maikel Garcia|25|19|6|0|3|3|1|2|5|0|1|5|1|0
Cam Smith|29|23|5|1|5|1|2|7|5|1|0|3|1|0
Gary Sanchez|8|6|3|2|3|3|0|3|2|0|0|1|0|0
Ildemaro Vargas|9|9|5|1|2|2|0|0|0|0|0|3|1|0
Javier Sanoja|12|12|7|0|1|3|0|1|0|0|0|5|2|0
Jose Fernandez|9|9|3|2|2|4|0|1|0|0|0|1|0|0
Connor Wong|10|10|5|0|0|1|0|3|0|0|0|2|3|0
Griffin Conine|11|10|4|1|3|2|1|2|1|0|0|2|1|0
