name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Aramis Garcia|ARI|2|0|0|0|0|1|0|1|2|0|0|0|0|0.5|0.5|0.5
Braden Shewmake|HOU|2|1|1|1|0|0|0|1|2|0|0|0|0|0.5|0.5|2.0
Will Wilson|SEA|2|1|1|2|0|0|0|1|2|0|0|0|0|0.5|0.5|2.0
Daniel Susac|SFG|24|0|1|5|0|3|1|11|23|0|0|2|1|0.478|0.5|0.652
Elias Díaz|KCR|8|0|1|2|0|1|1|3|7|0|0|2|0|0.429|0.5|0.714
Braxton Fulford|COL|5|1|2|2|0|2|0|2|5|0|0|0|0|0.4|0.4|1.0
Dalton Rushing|LAD|40|7|11|15|0|10|3|14|35|0|2|2|0|0.4|0.475|1.057
Moisés Ballesteros|CHC|65|4|11|12|0|12|6|23|58|1|0|5|0|0.397|0.446|0.69
Billy Cook|PIT|8|0|5|0|2|2|0|3|8|0|0|0|0|0.375|0.375|0.375
Miguel Rojas|LAD|43|1|4|3|0|6|3|14|38|1|0|2|0|0.368|0.405|0.5
Eloy Jiménez|TOR|29|0|2|3|0|4|3|9|25|1|0|0|0|0.36|0.414|0.36
Vaughn Grissom|LAA|36|0|4|3|0|2|6|10|28|1|0|3|0|0.357|0.457|0.464
Hyeseong Kim|LAD|49|1|7|7|5|11|6|15|42|1|0|2|0|0.357|0.429|0.476
Yordan Alvarez|HOU|125|11|20|26|1|11|19|36|102|1|3|8|0|0.353|0.464|0.755
Xavier Edwards|MIA|117|1|19|9|4|15|14|36|102|0|0|6|2|0.353|0.431|0.48
Ildemaro Vargas|ARI|77|5|15|16|0|9|2|26|74|0|0|5|1|0.351|0.368|0.649
Carlos Cortes|ATH|63|4|8|11|0|4|6|20|57|0|0|5|0|0.351|0.413|0.649
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0|2|0|0.35|0.391|0.45
Dominic Smith|ATL|68|4|11|17|0|8|2|22|63|1|1|2|0|0.349|0.373|0.571
Taylor Trammell|HOU|33|0|4|4|1|9|4|10|29|0|0|1|1|0.345|0.424|0.448
Christian Vázquez|HOU|47|2|6|10|0|8|5|14|41|0|0|4|0|0.341|0.413|0.585
Adley Rutschman|BAL|52|3|6|11|0|7|5|16|47|0|0|6|0|0.34|0.404|0.66
Javier Sanoja|MIA|62|0|1|9|2|6|6|19|56|0|0|3|0|0.339|0.403|0.393
Ben Rice|NYY|105|9|25|21|1|30|19|28|83|2|1|8|0|0.337|0.457|0.759
Andy Pages|LAD|107|5|14|24|4|24|7|33|98|1|1|6|0|0.337|0.383|0.551
Yandy Díaz|TBR|116|3|15|18|1|14|10|34|101|0|5|3|1|0.337|0.422|0.475
Luis Campusano|SDP|39|2|7|7|0|9|3|12|36|0|0|6|0|0.333|0.385|0.667
Michael Conforto|CHC|32|0|3|5|0|10|7|8|24|1|0|3|0|0.333|0.469|0.458
Kyle Farmer|ATL|7|0|1|3|0|0|0|2|6|1|0|1|0|0.333|0.286|0.5
Eric Haase|SFG|3|0|1|1|0|0|0|1|3|0|0|1|0|0.333|0.333|0.667
Michael Harris II|ATL|96|6|11|20|2|15|5|30|90|1|0|4|0|0.333|0.365|0.578
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|1|1|0|0.333|0.4|0.556
Kevin McGonigle|DET|118|2|21|12|2|15|15|34|102|0|1|11|2|0.333|0.424|0.539
Kyle Stowers|MIA|22|0|4|0|0|3|3|6|18|0|1|3|0|0.333|0.455|0.5
Garrett Stubbs|PHI|7|0|2|1|0|0|0|2|6|1|0|0|0|0.333|0.286|0.333
Ryan Ward|LAD|6|0|0|1|0|1|0|2|6|0|0|0|0|0.333|0.333|0.333
Ryan O'Hearn|PIT|105|4|14|16|1|18|13|29|88|2|2|4|0|0.33|0.419|0.511
Colt Keith|DET|83|0|13|6|0|16|4|26|79|0|0|7|0|0.329|0.361|0.418
Austin Martin|MIN|76|1|11|6|2|13|18|18|55|1|2|4|0|0.327|0.5|0.455
Seiya Suzuki|CHC|66|4|11|8|0|14|9|18|55|0|2|1|0|0.327|0.439|0.564
Otto Lopez|MIA|110|3|19|12|4|19|6|33|101|1|2|5|2|0.327|0.373|0.505
