name|ip|w|sv|hld|so|hr|er|h|bb|tbf
Cameron Schlittler|11.2|2|0|0|15|0|0|3|0|38
Jose Soriano|20.0|3|0|0|21|1|1|7|6|71
Sandy Alcantara|16.0|2|0|0|12|0|0|7|2|56
Max Fried|20.0|2|0|0|14|0|3|10|5|75
Joe Ryan|14.1|1|0|0|17|0|7|13|5|61
Kevin Gausman|12.0|0|0|0|21|1|1|3|0|40
Bryan Woo|13.0|0|0|0|15|0|2|5|2|46
Joe Boyle|11.1|0|0|0|13|0|4|7|3|46
Bryce Elder|13.0|1|0|0|13|0|0|9|2|47
Cristopher Sanchez|11.1|1|0|0|17|0|1|7|4|45
Hunter Brown|10.2|1|0|0|17|0|1|5|6|43
Seth Lugo|11.1|1|0|0|10|0|2|9|2|45
Tyler Glasnow|12.0|1|0|0|15|0|4|8|3|47
Dylan Cease|9.2|0|0|0|18|0|3|8|5|44
Kodai Senga|11.2|0|0|0|16|0|4|9|5|47
Sean Burke|10.0|0|0|0|12|0|4|11|1|42
Logan Gilbert|16.2|0|0|0|18|1|10|18|3|67
Michael Soroka|10.0|2|0|0|13|0|1|8|4|42
Emerson Hancock|12.2|1|0|0|14|1|1|6|1|43
Framber Valdez|12.0|1|0|0|10|0|1|10|3|49
Randy Vasquez|12.0|1|0|0|11|0|1|8|4|46
Chase Burns|11.0|1|0|0|16|1|1|6|4|43
Taj Bradley|10.1|1|0|0|12|0|1|8|4|43
Jhoan Duran|5.2|1|4|0|7|0|1|5|0|21
Braxton Ashcraft|12.0|1|0|0|11|0|3|8|4|46
Jeffrey Springs|11.1|1|0|0|9|0|3|7|4|43
Jack Leiter|11.0|1|0|0|17|1|3|9|2|44
Lance McCullers Jr.|11.0|1|0|0|13|0|4|9|4|42
Landen Roupp|10.2|1|0|0|14|0|5|9|3|44
Andrew Painter|9.1|1|0|0|9|0|5|13|2|42
Logan Webb|18.0|1|0|0|15|0|10|19|6|79
Eduardo Rodriguez|12.0|0|0|0|8|0|0|8|3|46
Mason Miller|4.1|0|4|0|11|0|0|1|1|15
Jimmy Herget|6.0|0|1|1|6|0|1|4|0|22
Reid Detmers|11.1|0|0|0|13|0|3|9|4|47
