name|ip|w|sv|hld|so|hr|er|h|bb|tbf
Cameron Schlittler|11.2|2|0|0|15|0|0|3|0|38
Sandy Alcantara|16.0|2|0|0|12|0|0|7|2|56
Kevin Gausman|12.0|0|0|0|21|1|1|3|0|40
Bryan Woo|13.0|0|0|0|15|0|2|5|2|46
Joe Boyle|11.1|0|0|0|13|0|4|7|3|46
Bryce Elder|13.0|1|0|0|13|0|0|9|2|47
Cristopher Sanchez|11.1|1|0|0|17|0|1|7|4|45
Seth Lugo|11.1|1|0|0|10|0|2|9|2|45
Tyler Glasnow|12.0|1|0|0|15|0|4|8|3|47
Sean Burke|10.0|0|0|0|12|0|4|11|1|42
Max Fried|13.1|2|0|0|10|0|0|5|2|48
Emerson Hancock|12.2|1|0|0|14|1|1|6|1|43
Framber Valdez|12.0|1|0|0|10|0|1|10|3|49
Hunter Brown|10.2|1|0|0|17|0|1|5|6|43
Taj Bradley|10.1|1|0|0|12|0|1|8|4|43
Jhoan Duran|4.2|1|3|0|7|0|1|4|0|17
Landen Roupp|10.2|1|0|0|14|0|5|9|3|44
Eduardo Rodriguez|12.0|0|0|0|8|0|0|8|3|46
Reid Detmers|11.1|0|0|0|13|0|3|9|4|47
Dylan Cease|9.2|0|0|0|18|0|3|8|5|44
Carmen Mlodzinski|9.0|0|0|0|13|0|4|11|3|41
Joe Ryan|9.1|0|0|0|10|0|5|10|2|39
Jose Soriano|12.0|2|0|0|11|0|0|4|6|45
Michael Soroka|10.0|2|0|0|13|0|1|8|4|42
Trevor Rogers|13.0|2|0|0|8|0|2|9|5|51
Parker Messick|6.0|1|0|0|5|0|0|5|0|20
Tarik Skubal|13.0|1|0|0|9|1|1|9|0|47
Randy Vasquez|12.0|1|0|0|11|0|1|8|4|46
Lance McCullers Jr.|7.0|1|0|0|9|0|1|4|1|24
Mitch Keller|12.0|1|0|0|7|0|2|9|4|47
Andrew Painter|5.1|1|0|0|8|0|1|4|1|21
Jeffrey Springs|11.1|1|0|0|9|0|3|7|4|43
Aaron Nola|11.1|1|0|0|16|2|4|10|3|47
Garrett Crochet|11.0|1|0|0|15|1|4|9|2|47
Tatsuya Imai|8.1|1|0|0|13|0|4|6|7|37
Jesus Luzardo|12.2|1|0|0|18|2|7|11|1|49
Nick Pivetta|8.0|1|0|0|12|0|6|8|5|37
Matthew Boyd|9.1|1|0|0|17|1|7|8|3|37
Logan Webb|11.0|1|0|0|12|0|9|12|5|51
Michael Wacha|6.0|0|0|0|7|0|0|3|1|20
Jimmy Herget|4.1|0|1|0|5|0|0|2|0|15
Pete Fairbanks|3.0|0|2|0|5|0|0|1|0|10
Mason Miller|3.1|0|3|0|8|0|0|1|1|12
Michael McGreevy|10.2|0|0|0|9|1|3|7|2|41
Kodai Senga|6.0|0|0|0|9|0|2|4|3|25
Joey Cantillo|9.0|0|0|0|11|0|3|8|5|39
Graham Ashcraft|6.0|0|0|3|11|0|2|4|3|25
Ryan Weathers|8.0|0|0|0|11|0|4|10|5|38
David Peterson|9.2|0|0|0|8|0|5|15|4|49
Logan Gilbert|10.2|0|0|0|13|1|8|12|3|44
Dennis Santana|6.0|2|0|2|4|0|0|1|2|19
Steven Matz|11.0|2|0|0|10|1|5|8|3|43
Riley O'Brien|4.1|1|1|1|4|0|0|4|0|16
Jake Bird|4.1|1|0|1|5|0|0|1|0|14
Edward Cabrera|6.0|1|0|0|5|0|0|1|1|19
Brent Headrick|5.0|1|0|0|7|0|0|5|2|22
Chase Burns|5.0|1|0|0|7|0|0|1|3|19
Rhett Lowder|11.0|1|0|0|9|1|2|6|4|43
Noah Cameron|5.0|1|0|0|5|0|1|4|1|20
Jeff Hoffman|4.2|1|1|0|11|1|1|5|0|20
Jacob Misiorowski|11.0|1|0|0|18|2|3|6|5|45
Nolan McLean|10.1|1|0|0|12|1|3|5|4|41
Eric Lauer|5.1|1|0|0|9|1|2|3|1|20
Freddy Peralta|10.1|1|0|0|14|2|5|9|2|42
Sonny Gray|10.0|1|0|0|8|1|5|10|1|42
Jack Kochanowicz|9.2|1|0|0|10|0|5|8|7|45
Huascar Brazoban|4.0|0|0|0|3|0|0|2|0|14
Brooks Raley|3.2|0|0|2|5|0|0|1|0|12
Jakob Junis|5.0|0|0|2|4|0|0|1|0|16
Antonio Senzatela|4.2|0|0|1|6|0|0|2|1|17
Luis Castillo|6.0|0|0|0|7|0|0|2|2|21
Jordan Romano|4.2|0|3|0|7|0|0|0|2|16
Jonathan Loaisiga|4.1|0|1|2|2|0|0|3|0|15
Jacob Latz|6.0|0|0|0|5|0|0|0|1|20
Braydon Fisher|6.1|0|0|2|6|0|0|5|1|21
Chase Silseth|4.1|0|0|3|5|0|0|2|1|16
Adrian Houser|5.1|0|0|0|4|0|1|7|1|25
Kyle Freeland|9.1|0|0|0|8|0|3|10|3|43
Connelly Early|9.1|0|0|0|10|0|3|8|6|40
Andrew Abbott|11.2|0|0|0|9|1|4|12|4|48
Shane Baz|11.0|0|0|0|9|0|4|10|3|46
Kumar Rocker|5.0|0|0|0|3|0|2|6|1|23
Janson Junk|4.1|0|0|0|5|0|2|5|1|19
Max Meyer|9.2|0|0|0|11|1|5|8|5|44
Matt Festa|3.2|0|0|0|3|0|2|4|0|15
Erick Fedde|5.0|0|0|0|4|0|3|6|1|21
Gabe Speier|3.1|0|1|0|4|0|2|4|0|14
Grant Wolfram|3.1|0|0|1|6|0|2|5|0|15
Mason Fluharty|2.2|0|0|2|4|0|3|5|1|14
Chris Sale|12.0|2|0|0|9|1|1|4|3|42
Clay Holmes|12.2|2|0|0|9|1|2|7|5|49
Aaron Ashby|7.1|2|0|0|12|1|3|6|4|30
Shohei Ohtani|6.0|1|0|0|6|0|0|1|3|23
Tony Santillan|5.0|1|0|3|7|0|0|1|4|19
Rico Garcia|3.2|1|0|1|4|0|0|0|1|12
Calvin Faucher|3.0|1|0|0|5|0|0|1|1|11
Cole Winn|4.0|1|0|1|4|0|0|3|2|17
Nick Mears|3.0|1|0|1|3|0|0|1|0|9
Matt Brash|3.0|1|0|0|3|0|0|2|0|11
Andre Pallante|5.0|1|0|0|3|0|0|3|3|21
Robert Suarez|4.0|1|0|1|2|0|0|4|0|15
Chad Patrick|9.1|1|0|0|7|1|1|9|4|39
Yohan Ramirez|5.0|1|0|1|7|0|1|3|3|20
Gavin Williams|12.0|1|0|0|17|1|3|4|9|45
Jack Leiter|6.0|1|0|0|8|1|2|5|1|24
Yoshinobu Yamamoto|12.0|1|0|0|8|2|4|9|1|43
Robbie Ray|10.2|1|0|0|11|2|4|8|3|43
Adrian Morejon|4.2|1|0|1|4|0|2|5|1|19
MacKenzie Gore|11.1|1|0|0|16|2|5|8|3|46
Paul Skenes|5.2|1|0|0|6|0|6|7|4|29
Martin Perez|4.1|0|0|0|3|0|0|2|0|14
Fernando Cruz|2.2|0|0|2|4|0|0|0|1|9
Steven Okert|3.2|0|0|0|4|0|0|0|1|11
Matt Strahm|2.2|0|0|2|3|0|0|1|0|10
Sam Moll|4.0|0|0|1|3|0|0|0|1|14
Scott Barlow|3.2|0|0|1|1|0|0|2|1|14
Tim Mayza|5.0|0|0|0|6|0|0|1|1|17
Devin Williams|3.0|0|1|0|4|0|0|1|2|12
Aaron Bummer|1.2|0|0|1|2|0|0|1|0|7
Tim Hill|4.2|0|0|3|3|0|0|1|0|14
Raisel Iglesias|3.0|0|1|0|1|0|0|1|0|10
Jalen Beeks|4.1|0|0|2|4|0|0|4|0|17
Tyler Kinley|3.0|0|0|0|3|0|0|0|0|9
JoJo Romero|4.0|0|0|3|3|0|0|2|0|14
Connor Seabold|2.1|0|0|0|3|0|0|1|0|8
Bryan Baker|2.0|0|0|0|2|0|0|0|0|6
Dylan Lee|4.0|0|0|0|4|0|0|3|0|15
Garrett Whitlock|3.0|0|0|1|4|0|0|2|2|13
Eli Morgan|3.0|0|1|0|5|0|0|1|1|12
Grant Anderson|5.0|0|0|1|6|0|0|2|1|18
Ryan Feltner|3.0|0|0|0|4|0|0|1|1|11
John King|2.2|0|0|0|3|0|0|0|1|9
Angel Zerpa|3.0|0|0|0|2|0|0|2|1|11
Jose A. Ferrer|2.0|0|0|1|2|0|0|3|0|10
Erik Sabrowski|3.2|0|0|4|6|0|0|0|2|13
Alex Vesia|3.0|0|0|1|1|0|0|1|0|10
Abner Uribe|3.1|0|0|2|3|0|0|1|1|12
Justin Slaten|3.1|0|0|2|5|0|0|2|2|14
Casey Legumina|3.2|0|0|0|4|0|0|2|1|15
Caleb Kilian|4.0|0|0|0|5|0|0|0|0|12
Cole Wilcox|3.0|0|0|0|4|0|0|2|0|11
Cole Henry|4.1|0|0|0|4|0|0|5|2|20
Louie Varland|4.1|0|0|1|6|0|0|5|2|18
Bradgley Rodriguez|3.2|0|0|0|4|0|0|1|0|12
Jack Dreyer|3.0|0|0|1|3|0|0|1|1|10
Casey Mize|6.0|0|0|0|9|1|1|4|2|22
Tyler Alexander|5.0|0|2|0|4|0|1|4|2|22
Drew Rasmussen|10.0|0|0|0|10|2|2|6|1|40
Kyle Harrison|5.0|0|0|0|8|1|1|4|1|20
Justin Topa|4.1|0|0|1|5|0|1|4|1|18
Aroldis Chapman|4.0|0|2|0|3|0|1|2|1|15
Daniel Lynch IV|4.0|0|0|1|6|0|1|2|3|18
