name|ip|w|sv|hld|so|hr|er|h|bb|tbf
Cameron Schlittler|11.2|2|0|0|15|0|0|3|0|38
Sandy Alcantara|16.0|2|0|0|12|0|0|7|2|56
Kevin Gausman|12.0|0|0|0|21|1|1|3|0|40
Bryan Woo|13.0|0|0|0|15|0|2|5|2|46
Joe Boyle|11.1|0|0|0|13|0|4|7|3|46
Max Fried|20.0|2|0|0|14|0|3|10|5|75
Bryce Elder|13.0|1|0|0|13|0|0|9|2|47
Cristopher Sanchez|11.1|1|0|0|17|0|1|7|4|45
Hunter Brown|10.2|1|0|0|17|0|1|5|6|43
Seth Lugo|11.1|1|0|0|10|0|2|9|2|45
Tyler Glasnow|12.0|1|0|0|15|0|4|8|3|47
Dylan Cease|9.2|0|0|0|18|0|3|8|5|44
Kodai Senga|11.2|0|0|0|16|0|4|9|5|47
Sean Burke|10.0|0|0|0|12|0|4|11|1|42
Michael Soroka|10.0|2|0|0|13|0|1|8|4|42
Emerson Hancock|12.2|1|0|0|14|1|1|6|1|43
Framber Valdez|12.0|1|0|0|10|0|1|10|3|49
Chase Burns|11.0|1|0|0|16|1|1|6|4|43
Taj Bradley|10.1|1|0|0|12|0|1|8|4|43
Jhoan Duran|4.2|1|3|0|7|0|1|4|0|17
Braxton Ashcraft|12.0|1|0|0|11|0|3|8|4|46
Jeffrey Springs|11.1|1|0|0|9|0|3|7|4|43
Jack Leiter|11.0|1|0|0|17|1|3|9|2|44
Lance McCullers Jr.|11.0|1|0|0|13|0|4|9|4|42
Landen Roupp|10.2|1|0|0|14|0|5|9|3|44
Logan Webb|18.0|1|0|0|15|0|10|19|6|79
Eduardo Rodriguez|12.0|0|0|0|8|0|0|8|3|46
Mason Miller|4.1|0|4|0|11|0|0|1|1|15
Reid Detmers|11.1|0|0|0|13|0|3|9|4|47
Carmen Mlodzinski|9.0|0|0|0|13|0|4|11|3|41
Joe Ryan|9.1|0|0|0|10|0|5|10|2|39
Jose Soriano|12.0|2|0|0|11|0|0|4|6|45
Trevor Rogers|13.0|2|0|0|8|0|2|9|5|51
Edward Cabrera|11.2|1|0|0|9|0|0|2|6|41
Tarik Skubal|13.0|1|0|0|9|1|1|9|0|47
Randy Vasquez|12.0|1|0|0|11|0|1|8|4|46
Mitch Keller|12.0|1|0|0|7|0|2|9|4|47
Andrew Painter|5.1|1|0|0|8|0|1|4|1|21
Aaron Nola|11.1|1|0|0|16|2|4|10|3|47
Garrett Crochet|11.0|1|0|0|15|1|4|9|2|47
Tatsuya Imai|8.1|1|0|0|13|0|4|6|7|37
Jesus Luzardo|12.2|1|0|0|18|2|7|11|1|49
Nick Pivetta|8.0|1|0|0|12|0|6|8|5|37
Matthew Boyd|9.1|1|0|0|17|1|7|8|3|37
Michael Wacha|6.0|0|0|0|7|0|0|3|1|20
Jimmy Herget|4.1|0|1|0|5|0|0|2|0|15
Michael McGreevy|10.2|0|0|0|9|1|3|7|2|41
Luis Castillo|9.2|0|0|0|11|0|3|9|3|41
Joey Cantillo|9.0|0|0|0|11|0|3|8|5|39
Graham Ashcraft|6.0|0|0|3|11|0|2|4|3|25
Ryan Weathers|8.0|0|0|0|11|0|4|10|5|38
David Peterson|9.2|0|0|0|8|0|5|15|4|49
Logan Gilbert|10.2|0|0|0|13|1|8|12|3|44
Dennis Santana|6.0|2|0|2|4|0|0|1|2|19
Davis Martin|11.0|2|0|0|12|1|3|9|4|44
Steven Matz|11.0|2|0|0|10|1|5|8|3|43
Huascar Brazoban|5.1|1|0|0|3|0|0|2|0|18
Bryan Baker|3.0|1|0|0|4|0|0|0|0|9
Riley O'Brien|5.1|1|2|1|5|0|0|4|0|19
Cole Winn|5.0|1|0|1|5|0|0|4|2|21
Matt Brash|4.0|1|0|0|4|0|0|2|0|14
Brent Headrick|5.0|1|0|0|7|0|0|5|2|22
Parker Messick|11.0|1|0|0|11|1|1|7|3|40
Rhett Lowder|11.0|1|0|0|9|1|2|6|4|43
Noah Cameron|5.0|1|0|0|5|0|1|4|1|20
Jeff Hoffman|4.2|1|1|0|11|1|1|5|0|20
Gavin Williams|12.0|1|0|0|17|1|3|4|9|45
Jacob Misiorowski|11.0|1|0|0|18|2|3|6|5|45
Nolan McLean|10.1|1|0|0|12|1|3|5|4|41
MacKenzie Gore|11.1|1|0|0|16|2|5|8|3|46
Freddy Peralta|10.1|1|0|0|14|2|5|9|2|42
Sonny Gray|10.0|1|0|0|8|1|5|10|1|42
Jack Kochanowicz|9.2|1|0|0|10|0|5|8|7|45
Jeremiah Estrada|4.2|1|0|2|7|0|4|2|3|19
Brooks Raley|3.2|0|0|2|5|0|0|1|0|12
Jakob Junis|5.0|0|0|2|4|0|0|1|0|16
Antonio Senzatela|4.2|0|0|1|6|0|0|2|1|17
Jordan Romano|4.2|0|3|0|7|0|0|0|2|16
JoJo Romero|5.2|0|0|4|4|0|0|2|1|20
Jacob Latz|7.0|0|0|0|6|0|0|0|2|24
Braydon Fisher|6.1|0|0|2|6|0|0|5|1|21
Erik Sabrowski|4.1|0|0|4|7|0|0|1|2|16
Louie Varland|4.1|0|0|1|6|0|0|5|2|18
Chase Silseth|4.1|0|0|3|5|0|0|2|1|16
Adrian Houser|5.1|0|0|0|4|0|1|6|1|25
Jonathan Loaisiga|5.1|0|1|2|3|0|1|6|0|21
Bradgley Rodriguez|5.1|0|0|1|6|0|1|4|0|20
Kyle Freeland|9.1|0|0|0|8|0|3|10|3|43
Connelly Early|9.1|0|0|0|10|0|3|8|6|40
Andrew Abbott|11.2|0|0|0|9|1|4|12|4|48
Shane Baz|11.0|0|0|0|9|0|4|10|3|46
Kumar Rocker|5.0|0|0|0|3|0|2|6|1|23
Janson Junk|4.1|0|0|0|5|0|2|5|1|19
Shota Imanaga|10.0|0|0|0|11|1|5|9|3|41
Max Meyer|9.2|0|0|0|11|1|5|8|5|44
Erick Fedde|5.0|0|0|0|4|0|3|6|1|21
Grant Wolfram|3.1|0|0|1|6|0|2|5|0|15
Mason Fluharty|2.2|0|0|2|4|0|3|5|1|14
Chris Sale|12.0|2|0|0|9|1|1|4|3|42
Clay Holmes|12.2|2|0|0|9|1|2|7|5|49
Aaron Ashby|7.1|2|0|0|12|1|3|6|4|30
Caleb Thielbar|3.1|1|0|0|3|0|0|0|2|12
Sam Moll|4.1|1|0|1|4|0|0|0|1|15
Brock Burke|5.0|1|1|0|5|0|0|2|2|17
Shohei Ohtani|6.0|1|0|0|6|0|0|1|3|23
Tony Santillan|5.0|1|0|3|7|0|0|1|4|19
Rico Garcia|3.2|1|0|1|4|0|0|0|1|12
Calvin Faucher|4.0|1|0|1|6|0|0|1|2|15
John King|3.0|1|0|0|3|0|0|0|1|10
Nick Mears|4.0|1|0|1|3|0|0|2|1|14
Andre Pallante|5.0|1|0|0|3|0|0|3|3|21
Robert Suarez|5.0|1|0|1|5|0|0|4|0|18
Jack Dreyer|4.0|1|0|1|4|0|0|1|2|14
Chad Patrick|9.1|1|0|0|7|1|1|9|4|39
Tomoyuki Sugano|10.2|1|0|0|9|2|2|6|3|41
Ryne Stanek|5.0|1|1|2|7|0|1|4|5|24
Yohan Ramirez|5.0|1|0|1|7|0|1|3|3|20
Brennan Bernardino|4.2|1|0|1|3|0|1|3|2|19
Kyle Harrison|10.1|1|0|0|14|2|3|7|3|41
Yoshinobu Yamamoto|12.0|1|0|0|8|2|4|9|1|43
Robbie Ray|10.2|1|0|0|11|2|4|8|3|43
Zac Gallen|10.0|1|0|0|4|1|4|9|2|40
Adrian Morejon|4.2|1|0|1|4|0|2|5|1|19
Ryan Zeferjahn|4.2|1|0|0|8|0|2|1|2|19
Andres Munoz|4.0|1|0|0|7|1|2|3|0|15
Eric Lauer|7.1|1|0|0|9|1|4|6|4|32
Jake Bird|4.1|1|0|1|5|0|3|2|1|17
Enmanuel De Jesus|4.2|1|0|0|6|0|4|6|2|24
Paul Skenes|5.2|1|0|0|6|0|6|7|4|29
Chris Murphy|5.1|1|1|0|6|0|6|8|4|28
Joe Mantiply|1.1|0|0|0|3|0|0|0|0|4
Tim Mayza|6.0|0|0|0|7|0|0|1|1|20
Tyler Rogers|5.0|0|0|2|3|0|0|3|2|20
Devin Williams|4.0|0|2|0|5|0|0|3|2|16
Aaron Bummer|1.2|0|0|1|2|0|0|1|0|7
Ryan Yarbrough|2.2|0|0|0|3|0|0|1|0|9
Tim Hill|4.2|0|0|3|3|0|0|1|0|14
Raisel Iglesias|4.0|0|1|0|2|0|0|1|0|13
Jalen Beeks|4.2|0|0|2|4|0|0|4|0|18
Tyler Kinley|4.0|0|0|0|3|0|0|1|1|14
Jose Urquidy|3.0|0|1|0|3|0|0|2|1|10
Connor Seabold|4.1|0|0|0|4|0|0|2|2|16
Garrett Whitlock|3.0|0|0|1|4|0|0|2|2|13
Eli Morgan|3.0|0|1|0|5|0|0|1|1|12
Ryan Feltner|3.0|0|0|0|4|0|0|1|1|11
Angel Zerpa|4.2|0|0|1|3|0|0|3|2|17
Tim Herrin|1.2|0|0|0|2|0|0|2|0|7
Justin Slaten|3.1|0|0|2|5|0|0|2|2|14
Casey Legumina|5.2|0|0|0|4|0|0|3|1|22
Caleb Kilian|4.0|0|0|0|5|0|0|0|0|12
Cole Wilcox|4.1|0|0|0|6|0|0|2|1|16
