name|ip|w|sv|hld|so|hr|er|h|bb|tbf
Cole Henry|4.1|0|0|0|4|0|0|5|2|20
Daniel Palencia|3.0|0|1|0|3|0|0|3|0|11
Casey Mize|6.0|0|0|0|9|1|1|4|2|22
Sam Bachman|5.2|0|0|2|7|0|1|3|4|23
Bryan King|5.1|0|1|1|8|0|1|4|2|23
Tyler Alexander|5.0|0|2|0|4|0|1|4|2|22
Dylan Lee|5.0|0|0|0|4|0|1|5|0|20
Drew Rasmussen|10.0|0|0|0|10|2|2|6|1|40
Tanner Scott|4.2|0|0|1|6|1|1|4|0|18
Jaden Hill|4.1|0|0|1|4|0|1|3|2|18
Aroldis Chapman|4.0|0|2|0|3|0|1|2|1|15
Nick Martinez|12.0|0|0|0|7|2|3|7|1|44
Edwin Diaz|4.0|0|3|0|5|0|1|1|2|16
Trevor Megill|4.0|0|3|0|5|0|1|3|3|18
Daniel Lynch IV|4.0|0|0|1|6|0|1|2|3|18
Didier Fuentes|4.0|0|0|0|4|0|1|2|1|15
Grant Taylor|4.0|0|0|0|6|0|1|3|2|17
Justin Sterner|4.0|0|0|1|5|0|1|5|2|19
Tommy Nance|4.0|0|0|1|4|0|1|2|2|16
Simeon Woods Richardson|11.2|0|0|0|6|2|3|10|3|46
Grant Holmes|11.0|0|0|0|8|1|3|6|5|43
Tanner Banks|3.2|0|0|1|3|0|1|4|0|14
Cole Sands|3.2|0|1|1|3|0|1|3|1|14
Abner Uribe|3.2|0|0|3|4|0|1|3|1|15
Eduard Bazardo|3.2|0|0|0|4|0|1|2|3|16
Fernando Cruz|3.1|0|0|3|6|0|1|0|2|12
Cade Cavalli|9.2|0|0|0|8|0|3|8|5|42
Gus Varland|3.0|0|0|1|4|0|1|4|1|14
Andrew Nardi|3.0|0|0|1|6|0|1|1|3|13
Grant Anderson|5.2|0|0|2|7|0|2|4|2|23
Michael King|10.2|0|0|0|11|1|4|8|5|44
Martin Perez|9.1|0|0|0|4|0|4|7|1|34
Cody Ponce|2.1|0|0|0|3|0|1|1|1|10
Ryan Helsley|2.1|0|2|0|4|0|1|4|1|13
Shane McClanahan|4.2|0|0|0|4|0|2|2|3|19
Keider Montero|4.1|0|0|0|3|0|2|3|1|17
Juan Mejia|4.1|0|0|0|2|0|2|6|1|19
Colin Rea|6.1|0|1|0|8|1|3|8|1|27
Steven Okert|4.0|0|0|0|4|0|2|1|2|14
Gabe Speier|4.0|0|1|0|4|0|2|4|1|17
Sean Newcomb|6.0|0|0|1|6|0|3|7|3|27
Yennier Cano|2.0|0|0|1|3|0|1|3|0|9
Matt Strahm|3.2|0|0|2|4|0|2|3|1|16
Brady Singer|9.0|0|0|0|10|1|5|11|3|42
Slade Cecconi|10.1|0|0|0|11|1|6|7|4|45
Kyle Hart|6.2|0|0|1|5|0|4|5|2|26
Jacob deGrom|4.2|0|0|0|7|1|3|6|0|20
Drew Pomeranz|4.2|0|0|3|2|0|3|4|3|22
Tyler Wells|4.2|0|0|2|6|0|3|6|2|22
Luis Garcia|3.0|0|0|0|3|0|2|6|1|16
Jose A. Ferrer|3.0|0|0|1|3|0|2|7|0|17
Keaton Winn|4.1|0|0|2|7|0|3|4|2|19
Kyle Bradish|8.2|0|0|0|10|1|6|8|6|38
Luis Severino|8.1|0|0|0|10|0|6|7|8|38
Yusei Kikuchi|9.2|0|0|0|8|1|7|14|5|48
Pete Fairbanks|4.0|0|2|0|6|1|3|4|1|17
Bailey Ober|8.0|0|0|0|5|1|6|8|3|35
Justin Wrobleski|4.0|0|0|0|2|0|3|4|1|17
Will Vest|4.0|0|0|2|4|0|3|3|2|17
Zach Agnos|3.1|0|0|0|5|0|3|7|2|18
Logan Henderson|2.0|0|0|0|3|0|2|3|1|9
Jonathan Bowlan|3.0|0|0|0|2|0|3|6|0|14
Jose Suarez|3.2|0|0|0|6|0|4|5|3|18
Camilo Doval|3.1|0|0|1|5|0|4|5|1|17
Erik Miller|3.0|0|0|0|4|0|4|6|2|17
Ian Seymour|2.2|0|0|1|3|0|5|6|0|14
Taylor Rashi|1.0|1|0|0|0|0|0|0|0|3
Andrew Hoffmann|4.2|1|0|0|5|0|0|2|4|20
Max Scherzer|6.0|1|0|0|4|1|1|4|1|22
Kai-Wei Teng|5.2|1|0|0|6|1|1|4|1|22
Reynaldo Lopez|11.0|1|0|0|6|2|2|7|3|42
Shaun Anderson|5.0|1|0|0|2|0|1|2|3|19
Anthony Banda|4.1|1|0|0|4|0|1|2|1|18
Osvaldo Bido|4.0|1|1|0|4|0|1|2|1|15
Cade Horton|7.1|1|0|0|4|1|2|4|2|26
Will Klein|3.2|1|0|0|3|0|1|2|2|14
Foster Griffin|10.0|1|0|0|11|2|3|10|3|43
Will Warren|10.0|1|0|0|9|2|3|9|2|40
Jake Woodford|3.0|1|0|0|4|1|1|2|0|10
Brandon Woodruff|5.0|1|0|0|6|2|2|4|0|19
Aaron Civale|5.0|1|0|0|3|1|2|4|1|20
Connor Phillips|5.0|1|1|1|6|0|2|3|6|23
George Kirby|12.0|1|0|0|12|2|5|7|5|46
Kris Bubic|11.0|1|0|0|12|2|5|6|6|44
Kody Funderburk|4.1|1|0|2|6|1|2|5|2|20
Kyle Leahy|10.0|1|0|0|5|1|6|13|5|47
Mike Burrows|10.2|1|0|0|12|2|7|14|5|50
Cade Smith|6.0|1|3|0|8|1|5|7|3|28
Jake Irvin|9.0|1|0|0|11|2|8|11|3|42
Elvis Alvarado|5.1|1|0|1|4|0|5|7|4|25
Edgardo Henriquez|3.0|1|0|0|2|0|3|4|1|14
Anthony Bender|3.1|1|1|1|5|0|4|4|4|19
Jameson Taillon|4.2|0|0|0|3|0|0|2|4|20
Blake Treinen|3.0|0|0|1|2|0|0|2|1|11
Lucas Sims|2.0|0|0|0|1|0|0|1|1|9
Kyle Finnegan|3.1|0|0|1|3|0|0|1|4|15
Ryan Thompson|3.1|0|0|0|2|0|0|2|3|16
Luke Weaver|4.0|0|0|1|2|0|0|1|2|15
Matt Gage|4.2|0|0|1|3|0|0|2|2|17
Dylan Moore|0.2|0|0|0|0|0|0|1|0|3
Tyler Phillips|4.0|0|0|0|5|0|0|2|2|18
DL Hall|5.0|0|0|0|9|0|0|3|4|21
Lazaro Estrada|4.0|0|0|0|3|0|0|0|2|14
Ethan Roberts|0.2|0|0|0|0|0|0|1|0|3
Alex Vesia|4.0|0|0|1|1|0|0|2|1|15
Tyler Holton|3.2|0|0|1|2|0|0|1|3|15
Hunter Bigge|0.2|0|0|0|1|0|0|0|1|3
Jose Franco|1.2|0|0|1|0|0|0|3|0|7
Jared Koenig|2.1|0|0|1|4|0|0|3|2|13
Eric Orze|3.1|0|0|1|0|0|0|1|2|13
Christian Koss|1.0|0|0|0|0|0|0|0|0|3
Walbert Urena|1.2|0|0|1|2|0|0|5|3|15
Bubba Chandler|4.1|0|0|0|6|0|0|0|6|19
David Morgan|5.0|0|0|0|4|0|0|5|3|22
Blade Tidwell|3.0|0|1|0|2|0|0|2|0|9
Tobias Myers|8.0|0|0|1|6|1|1|2|1|26
Valente Bellozo|6.0|0|0|0|7|1|1|1|1|20
Ryan Weiss|6.0|0|0|0|7|1|1|5|2|24
Gregory Soto|5.1|0|1|0|11|1|1|2|2|21
Peyton Pallette|4.2|0|0|0|5|0|1|2|1|19
Jovani Moran|4.0|0|0|0|4|1|1|2|1|15
Zach Eflin|3.2|0|0|0|7|1|1|4|2|17
Mark Leiter Jr.|3.2|0|1|0|1|0|1|6|1|18
Cody Bolton|3.0|0|1|0|5|1|1|3|1|13
Paul Blackburn|3.0|0|0|0|2|0|1|6|1|16
Robert Garcia|3.0|0|0|1|3|0|1|2|4|14
Austin Voth|2.2|0|0|0|1|0|1|3|1|12
Kolby Allard|2.2|0|0|0|5|1|1|2|1|11
Ron Marinaccio|5.0|0|0|0|5|1|2|3|0|18
Anthony Nunez|5.0|0|0|0|5|1|2|4|1|20
Isaac Mattson|5.0|0|0|1|5|0|2|5|4|23
Ryan Watson|5.0|0|0|0|4|0|2|3|6|24
Brent Suter|7.1|0|0|0|9|1|3|7|3|30
Jose Quintana|4.1|0|0|0|2|0|2|4|4|19
David Bednar|4.1|0|4|0|4|0|2|7|3|22
Ben Brown|8.2|0|0|0|8|1|4|6|4|35
Dietrich Enns|4.1|0|0|0|7|0|2|2|5|20
Zach Pop|4.0|0|0|0|5|0|2|1|3|17
Zack Kelly|2.0|0|0|0|1|0|1|1|0|7
Victor Vodnik|4.0|0|1|0|4|1|2|7|0|19
Taylor Rogers|4.0|0|0|1|3|0|2|4|2|17
Lucas Erceg|3.2|0|2|1|2|0|2|5|2|15
Justin Bruihl|5.1|0|0|0|3|0|3|4|4|24
J.T. Ginn|7.0|0|0|0|4|1|4|6|2|28
Alex Lange|3.1|0|0|0|6|0|2|2|4|17
Bryan Hudson|3.0|0|0|1|4|0|2|5|3|18
Lake Bachar|4.0|0|0|0|5|0|3|3|3|17
Brandon Pfaadt|10.2|0|0|0|5|1|8|12|3|45
George Klassen|2.2|0|0|0|4|0|2|3|5|16
Jack Flaherty|8.1|0|0|0|8|0|7|7|8|43
Taylor Clarke|4.2|0|0|3|5|1|4|4|0|19
Matt Festa|4.2|0|0|0|4|1|4|6|0|20
Phil Maton|2.1|0|0|0|3|0|2|2|3|13
Cody Laweryson|3.1|0|0|0|4|0|3|2|2|15
Kyle Backhus|3.0|0|0|0|4|1|3|4|1|14
Mason Montgomery|4.2|0|0|2|10|1|5|7|4|25
Kevin Ginkel|3.1|0|0|1|2|0|4|6|1|17
Mick Abel|7.1|0|0|0|7|0|9|14|7|42
Jose Alvarado|2.2|0|0|1|4|0|4|5|3|15
Kevin Kelly|2.2|0|2|1|3|0|5|3|2|15
Matthew Pushard|1.0|0|0|0|1|0|3|3|1|7
Connor Brogdon|4.0|2|1|0|3|1|2|3|1|16
Gordon Graceffo|2.2|1|0|1|0|0|0|0|2|8
Brant Hurter|4.0|1|0|0|1|1|1|4|1|16
Brad Lord|7.1|1|0|0|4|1|4|10|2|35
Seranthony Dominguez|3.2|1|1|0|3|1|2|4|2|18
Chase Dollander|8.1|1|0|0|11|3|5|9|3|37
Spencer Miles|4.2|1|0|0|5|1|3|5|2|20
Michael Petersen|4.0|1|0|0|4|1|3|2|4|18
Garrett Cleavinger|2.1|1|0|2|3|0|2|3|4|14
Emmet Sheehan|9.0|1|0|0|8|2|8|12|5|43
Chris Martin|4.0|1|0|0|3|1|4|9|0|21
Matthew Liberatore|11.0|0|0|0|4|2|2|10|3|46
Sean Manaea|5.0|0|0|0|4|1|1|5|4|24
Luis Medina|4.1|0|0|0|6|1|1|4|3|20
Albert Suarez|3.0|0|1|0|2|1|1|2|1|12
Cooper Criswell|6.0|0|1|0|7|2|2|4|1|21
Cade Povich|5.2|0|0|0|2|1|2|4|3|24
Carter Baumler|5.2|0|0|0|6|1|2|4|6|27
Tyler Uberstine|2.2|0|0|0|2|1|1|3|1|11
Danny Coulombe|2.2|0|0|0|2|1|1|2|1|11
Cole Ragans|10.0|0|0|0|13|3|4|10|5|41
Juan Morillo|5.0|0|0|3|4|1|2|2|2|19
Hogan Harris|7.1|0|0|2|5|0|3|7|8|37
Tanner Bibee|9.0|0|0|0|11|3|4|8|4|38
JT Brubaker|6.2|0|0|0|5|1|3|7|4|28
Paul Sewald|4.0|0|3|0|7|2|2|2|0|14
Wandy Peralta|4.0|0|0|0|2|1|2|7|0|19
George Soriano|4.0|0|0|1|0|0|2|3|3|19
Cole Sulser|5.1|0|0|0|5|1|3|7|3|27
PJ Poulin|5.0|0|0|2|4|1|3|3|4|22
Kenley Jansen|1.2|0|1|0|5|1|1|1|1|7
Justin Topa|4.2|0|0|1|5|1|3|6|2|22
Colin Holderman|3.0|0|0|0|3|1|2|2|2|14
Ryan Walker|3.0|0|1|0|4|1|2|2|2|13
Michael Kelly|4.1|0|0|0|4|1|3|6|4|22
Jordan Leasure|5.2|0|0|1|5|2|4|5|1|22
Jacob Lopez|8.1|0|0|0|6|1|6|9|10|43
Brad Keller|4.0|0|0|2|2|1|3|4|1|17
Joel Payamps|1.1|0|0|0|2|1|1|3|1|8
Ben Casparius|2.2|0|0|0|3|1|2|3|1|12
Tyler Mahle|9.0|0|0|0|9|2|7|13|3|40
Roki Sasaki|9.0|0|0|0|9|2|7|9|5|41
Jordan Hicks|3.2|0|1|1|2|0|3|2|6|17
Joey Lucchesi|2.1|0|0|1|2|0|2|4|4|16
Pierce Johnson|3.1|0|0|2|2|1|3|6|1|17
Chris Paddack|8.2|0|0|0|10|2|8|11|4|43
Ranger Suarez|8.1|0|0|0|5|2|8|13|3|38
Walker Buehler|6.2|0|0|0|7|1|7|8|5|33
Brayan Bello|4.2|0|0|0|2|1|5|8|3|25
Johan Oviedo|3.2|0|0|0|3|2|4|6|1|18
Andre Granillo|3.2|0|0|0|1|1|4|4|3|17
Nathan Eovaldi|8.2|0|0|0|12|3|11|16|3|45
Matt Svanson|5.1|0|0|0|4|1|7|9|4|29
Mason Englert|3.0|0|0|0|2|2|4|5|0|14
Justin Verlander|3.2|0|0|0|1|1|5|6|2|19
Bailey Falter|3.1|0|0|0|4|1|5|8|2|20
Luinder Avila|3.0|0|0|0|4|1|5|8|3|18
Dustin May|7.1|0|0|0|7|2|13|17|3|40
Ryan Johnson|3.1|0|0|0|2|1|6|7|4|21
Tyler Gilbert|1.0|0|0|0|0|1|2|2|1|6
Shane Smith|4.2|0|0|0|3|1|10|11|4|30
Tyler Heineman|2.0|0|0|0|0|1|5|7|1|14
James McCann|1.0|0|0|0|0|1|5|7|0|10
Shawn Armstrong|5.2|1|0|3|7|2|2|6|2|24
Richard Lovelady|5.0|1|0|0|5|1|3|8|4|26
A.J. Blubaugh|7.1|1|0|1|7|2|5|7|2|31
Yoendrys Gomez|5.2|0|0|0|4|2|2|4|3|24
Hoby Milner|5.0|0|0|1|0|1|2|5|0|20
Clayton Beeter|4.2|0|1|1|3|1|2|2|2|18
Anthony Kay|9.0|0|0|0|5|2|4|6|6|40
John Schreiber|4.0|0|1|0|2|1|2|3|4|18
Christian Roa|2.0|0|0|0|2|1|1|3|3|12
Justin Lawrence|3.2|0|0|1|6|2|2|2|2|15
Zak Kent|3.2|0|0|0|2|2|2|4|5|20
Ryan Borucki|3.2|0|0|0|2|2|2|4|1|15
Ken Waldichuk|5.1|0|0|0|5|2|3|5|3|24
Zack Littell|5.0|0|0|0|1|2|3|6|2|23
Eury Perez|11.0|0|0|0|12|3|7|7|7|47
Hunter Harvey|3.0|0|0|0|3|2|3|4|1|15
Taijuan Walker|9.2|0|0|0|6|3|10|17|5|52
Scott Barlow|3.2|0|0|1|1|1|4|4|3|18
Brandon Williamson|4.2|0|0|0|3|3|6|6|2|22
German Marquez|3.0|0|0|0|1|2|4|8|1|18
Chris Roycroft|3.2|0|0|0|3|1|5|8|5|25
Chris Bassitt|6.1|0|0|0|3|1|10|12|6|40
Michael Lorenzen|7.1|0|0|0|6|3|12|19|2|45
Jedixson Paez|3.0|0|0|0|0|2|6|4|3|16
Joe Ross|3.2|0|0|1|2|1|8|7|4|22
Cionel Perez|2.2|0|0|1|3|2|6|6|2|17
Jose Butto|2.0|0|0|0|5|2|5|6|4|16
Jacob Webb|3.2|0|0|0|3|2|3|5|4|19
Steven Cruz|3.2|0|0|0|4|3|3|3|2|16
Emilio Pagan|5.1|0|3|0|6|2|5|6|3|25
Greg Weissert|4.2|0|0|1|8|3|5|5|2|21
Drew Anderson|3.1|0|0|0|3|2|4|5|2|18
Griffin Jax|4.0|0|0|0|1|1|5|7|3|22
Cristian Javier|8.1|0|0|0|3|2|12|10|9|42
Roddery Munoz|4.0|0|0|0|6|3|7|7|6|25
Yaramil Hiraldo|1.2|0|0|0|2|2|4|3|4|12
Carlos Estevez|0.1|0|0|0|0|1|6|4|2|7
Ryne Nelson|9.1|0|0|0|7|4|6|5|6|40
Miles Mikolas|9.1|0|0|0|8|5|15|17|4|50
Brandon Sproat|6.2|0|0|0|7|4|11|10|7|35
Luis Morales|7.1|0|0|0|5|4|10|13|8|42
Bryan Abreu|2.2|0|1|1|6|3|7|4|5|16
Brendon Little|3.2|0|0|0|6|3|10|10|3|24
Hunter Barco|5.1|0|0|0|4|3|4|7|5|29
