name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Wade Meckler|LAA|4|1|1|3|0|0|1|2|3|0|0|0|0|0.667|0.75|1.667
Chadwick Tromp|ATL|8|0|1|2|0|2|0|4|7|0|0|0|0|0.571|0.571|0.571
Orlando Arcia|MIN|2|0|0|0|0|1|0|1|2|0|0|0|0|0.5|0.5|0.5
Gabriel Gonzalez|MIN|4|0|1|0|0|0|2|1|2|0|0|0|0|0.5|0.75|0.5
Michael Stefanic|ATH|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Daniel Susac|SFG|41|0|1|7|0|8|3|15|38|0|0|3|1|0.395|0.439|0.526
Endy Rodríguez|PIT|20|0|2|2|0|4|4|6|16|0|0|1|0|0.375|0.5|0.438
Blake Dunn|CIN|31|1|8|1|2|6|3|10|28|0|0|2|1|0.357|0.419|0.607
Nick Sogard|BOS|20|0|1|2|0|4|3|6|17|0|0|1|0|0.353|0.45|0.412
Justin Foscue|TEX|41|2|5|7|0|11|2|13|37|1|1|3|0|0.351|0.39|0.595
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0|2|0|0.35|0.391|0.45
Carlos Cortes|ATH|133|4|12|16|1|14|14|40|116|1|2|8|1|0.345|0.421|0.534
Taylor Trammell|HOU|33|0|4|4|1|9|4|10|29|0|0|1|1|0.345|0.424|0.448
Otto Lopez|MIA|213|4|30|21|8|35|8|68|200|2|3|13|2|0.34|0.371|0.485
Dominic Smith|ATL|115|5|17|23|0|17|4|36|107|2|1|4|1|0.336|0.36|0.533
José Azócar|ATL|16|0|1|0|1|3|1|5|15|0|0|2|0|0.333|0.375|0.467
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Aramis Garcia|ARI|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Mickey Gasper|BOS|34|0|3|2|0|6|0|11|33|0|1|2|0|0.333|0.353|0.394
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|1|1|0|0.333|0.4|0.556
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Andrew Vaughn|MIL|47|1|8|7|0|4|6|13|39|0|2|4|0|0.333|0.447|0.513
Ryan Ward|LAD|6|0|0|1|0|1|0|2|6|0|0|0|0|0.333|0.333|0.333
Ryan Waldschmidt|ARI|49|0|7|6|4|13|5|14|43|0|0|4|0|0.326|0.396|0.419
Brandon Marsh|PHI|180|4|26|22|4|39|7|55|169|3|1|9|1|0.325|0.35|0.462
Riley Greene|DET|215|4|30|24|1|58|28|60|185|0|2|15|0|0.324|0.419|0.47
Colby Thomas|ATH|37|1|4|5|0|9|2|11|34|0|0|2|0|0.324|0.361|0.471
Nick Gonzales|PIT|181|0|21|21|3|29|13|53|164|1|3|8|0|0.323|0.381|0.372
Luis Arraez|SFG|209|2|21|18|4|8|13|61|190|3|0|9|2|0.321|0.359|0.421
Ildemaro Vargas|ARI|181|7|28|32|1|16|6|55|173|0|0|8|2|0.318|0.341|0.509
Troy Johnston|COL|167|2|18|22|1|37|12|48|152|0|2|13|0|0.316|0.373|0.441
Shea Langeliers|ATH|212|12|35|27|0|43|20|59|188|1|3|11|0|0.314|0.387|0.564
Ryan Kreidler|MIN|37|3|7|8|0|9|5|10|32|0|0|2|0|0.313|0.405|0.656
Michael Conforto|CHC|74|3|11|11|0|18|12|19|61|1|0|8|0|0.311|0.419|0.59
Yandy Díaz|TBR|202|8|27|33|1|24|17|55|177|1|7|7|1|0.311|0.391|0.497
Henry Bolte|ATH|34|0|2|3|3|7|4|9|29|1|0|1|0|0.31|0.382|0.345
Xavier Edwards|MIA|220|6|37|19|6|25|25|60|194|0|0|8|3|0.309|0.388|0.474
Jhostynxon Garcia|PIT|13|0|0|1|0|4|0|4|13|0|0|0|0|0.308|0.308|0.308
Ryan Vilade|TBR|73|2|8|14|2|12|8|19|62|2|0|3|1|0.306|0.375|0.484
Josh Jung|TEX|197|5|22|21|1|28|14|55|180|1|2|14|0|0.306|0.36|0.467
Jorge Mateo|ATL|63|2|17|6|6|21|4|18|59|0|0|3|0|0.305|0.349|0.458
Alex Call|LAD|58|0|11|9|0|7|10|14|46|1|1|4|0|0.304|0.431|0.391
William Contreras|MIL|206|4|28|30|1|23|20|56|184|1|1|8|0|0.304|0.374|0.413
Yordan Alvarez|HOU|226|15|30|31|1|37|33|57|188|1|4|11|0|0.303|0.416|0.601
