name|ip|w|sv|hld|so|hr|er|h|bb|tbf
JoJo Romero|4.0|0|0|3|3|0|0|2|0|14
Gregory Soto|4.1|0|0|0|8|0|0|1|2|17
Connor Seabold|2.1|0|0|0|3|0|0|1|0|8
Jonathan Loaisiga|3.1|0|1|1|2|0|0|3|0|12
Bryan Baker|2.0|0|0|0|2|0|0|0|0|6
Michael King|5.0|0|0|0|6|0|0|1|4|20
Dylan Lee|3.0|0|0|0|3|0|0|2|0|11
Garrett Whitlock|3.0|0|0|1|4|0|0|2|2|13
David Peterson|5.1|0|0|0|3|0|0|6|2|25
Grant Anderson|5.0|0|0|1|6|0|0|2|1|18
Jacob Latz|5.0|0|0|0|3|0|0|0|1|17
Ryan Feltner|3.0|0|0|0|4|0|0|1|1|11
Angel Zerpa|3.0|0|0|0|2|0|0|2|1|11
Keaton Winn|3.0|0|0|1|6|0|0|0|1|10
Jose A. Ferrer|2.0|0|0|1|2|0|0|3|0|10
Braydon Fisher|3.2|0|0|2|2|0|0|1|0|10
Erik Sabrowski|3.2|0|0|4|6|0|0|0|2|13
Alex Vesia|3.0|0|0|1|1|0|0|1|0|10
Nick Mears|2.0|0|0|1|3|0|0|1|0|6
Kevin Kelly|1.1|0|1|1|1|0|0|1|0|5
Casey Legumina|3.2|0|0|0|4|0|0|2|1|15
Andrew Nardi|1.2|0|0|1|4|0|0|1|0|6
Caleb Kilian|2.2|0|0|0|3|0|0|0|0|8
Cole Wilcox|3.0|0|0|0|4|0|0|2|0|11
Jared Koenig|2.0|0|0|1|4|0|0|1|0|7
Louie Varland|3.1|0|0|1|5|0|0|4|2|15
Brent Headrick|3.1|0|0|0|5|0|0|5|1|16
J.T. Ginn|3.2|0|0|0|2|0|0|1|1|12
Bradgley Rodriguez|3.2|0|0|0|4|0|0|1|0|12
Chase Silseth|3.0|0|0|2|2|0|0|2|1|12
Robert Suarez|3.0|0|0|1|2|0|0|4|0|12
Jack Dreyer|2.2|0|0|1|2|0|0|1|1|9
Mason Miller|2.1|0|2|0|5|0|0|1|1|9
Casey Mize|6.0|0|0|0|9|1|1|4|2|22
Adrian Houser|5.1|0|0|0|4|0|1|7|1|25
Drew Rasmussen|10.0|0|0|0|10|2|2|6|1|40
Kyle Harrison|5.0|0|0|0|8|1|1|4|1|20
Will Warren|4.1|0|0|0|3|0|1|5|2|19
Didier Fuentes|4.0|0|0|0|4|0|1|2|1|15
Roki Sasaki|4.0|0|0|0|4|0|1|4|2|18
Adrian Morejon|3.2|0|0|1|2|0|1|3|1|14
Bryan King|3.2|0|1|1|7|0|1|3|1|16
Dietrich Enns|3.1|0|0|0|5|0|1|1|2|14
Cade Cavalli|9.2|0|0|0|8|0|3|8|5|42
Nick Martinez|6.0|0|0|0|3|1|2|6|0|24
Braxton Ashcraft|6.0|0|0|0|3|0|2|4|4|25
Jeffrey Springs|5.1|0|0|0|2|0|2|5|3|22
Justin Topa|2.2|0|0|1|2|0|1|2|0|10
Tanner Banks|2.2|0|0|1|2|0|1|4|0|11
Justin Sterner|2.2|0|0|1|4|0|1|3|1|13
Jaden Hill|2.2|0|0|0|3|0|1|3|1|11
Cody Ponce|2.1|0|0|0|3|0|1|1|1|10
Shane McClanahan|4.2|0|0|0|4|0|2|2|3|19
Tyler Mahle|4.0|0|0|0|5|0|2|5|1|17
Trevor Megill|2.0|0|1|0|3|0|1|2|1|9
Joey Cantillo|3.2|0|0|0|5|0|2|4|3|18
Sean Newcomb|5.0|0|0|0|6|0|3|6|2|22
Yennier Cano|1.2|0|0|1|2|0|1|3|0|8
Jacob deGrom|4.2|0|0|0|7|1|3|6|0|20
Matt Festa|3.0|0|0|0|3|0|2|4|0|13
Camilo Doval|3.0|0|0|1|4|0|2|2|1|13
Luis Severino|8.1|0|0|0|10|0|6|7|8|38
Yusei Kikuchi|9.2|0|0|0|8|1|7|14|5|48
Brandon Pfaadt|6.0|0|0|0|3|0|5|6|1|24
Gabe Speier|2.1|0|0|0|3|0|2|4|0|11
Grant Wolfram|2.1|0|0|0|4|0|2|4|0|11
Zach Agnos|3.1|0|0|0|5|0|3|7|2|18
Kyle Hart|4.1|0|0|1|5|0|4|4|1|17
Jonathan Bowlan|3.0|0|0|0|2|0|3|6|0|14
Jose Suarez|3.2|0|0|0|6|0|4|5|3|18
Tyler Wells|2.2|0|0|2|4|0|3|6|2|16
Dustin May|4.0|0|0|0|3|0|6|10|1|22
Jeremiah Estrada|2.2|0|0|1|6|0|4|2|3|13
Ian Seymour|2.2|0|0|1|3|0|5|6|0|14
Aaron Ashby|5.2|2|0|0|9|1|1|2|3|20
Anthony Banda|2.1|1|0|0|3|0|0|1|1|9
Brock Burke|4.0|1|0|0|2|0|0|2|2|14
Anthony Bender|2.0|1|0|1|2|0|0|1|1|8
Matt Brash|2.0|1|0|0|1|0|0|2|0|8
Andre Pallante|5.0|1|0|0|3|0|0|3|3|21
Gordon Graceffo|1.2|1|0|1|0|0|0|0|0|4
Andrew Hoffmann|3.2|1|0|0|3|0|0|1|3|15
Max Scherzer|6.0|1|0|0|4|1|1|4|1|22
Kris Bubic|6.0|1|0|0|4|1|1|2|3|22
Ryne Stanek|4.0|1|1|1|5|0|1|4|4|20
Will Klein|3.2|1|0|0|3|0|1|2|2|14
Cade Horton|6.1|1|0|0|4|1|2|4|1|22
Jake Woodford|3.0|1|0|0|4|1|1|2|0|10
Clay Holmes|5.2|1|0|0|5|1|2|4|3|23
Brandon Woodruff|5.0|1|0|0|6|2|2|4|0|19
Foster Griffin|5.0|1|0|0|5|1|2|5|0|21
Zac Gallen|10.0|1|0|0|4|1|4|9|2|40
Aaron Civale|5.0|1|0|0|3|1|2|4|1|20
George Kirby|12.0|1|0|0|12|2|5|7|5|46
Connor Phillips|4.0|1|1|0|5|0|2|2|5|18
Davis Martin|5.0|1|0|0|6|1|3|5|2|21
Mike Burrows|10.2|1|0|0|12|2|7|14|5|50
Steven Matz|5.0|1|0|0|2|1|4|6|1|21
Chris Martin|1.2|1|0|0|2|0|2|4|0|10
Enmanuel De Jesus|2.0|1|0|0|3|0|3|4|2|13
Caleb Thielbar|2.0|0|0|0|3|0|0|0|1|7
Jameson Taillon|4.2|0|0|0|3|0|0|2|4|20
Taylor Rogers|2.0|0|0|0|2|0|0|1|0|7
Lucas Sims|2.0|0|0|0|1|0|0|1|1|9
Kyle Finnegan|2.1|0|0|1|2|0|0|0|3|10
Tim Mayza|4.0|0|0|0|4|0|0|1|1|14
Sean Manaea|1.1|0|0|0|2|0|0|1|2|7
Jordan Romano|2.2|0|2|0|4|0|0|0|2|10
Ryan Thompson|2.0|0|0|0|1|0|0|1|2|9
Luke Weaver|3.0|0|0|0|2|0|0|1|2|12
Raisel Iglesias|2.0|0|0|0|1|0|0|1|0|7
Matt Gage|3.0|0|0|1|1|0|0|0|1|9
Dylan Moore|0.2|0|0|0|0|0|0|1|0|3
Tyler Kinley|1.0|0|0|0|1|0|0|0|0|3
Lucas Erceg|2.2|0|2|1|1|0|0|2|1|9
Tony Santillan|3.0|0|0|2|6|0|0|1|4|13
Tyler Phillips|2.0|0|0|0|2|0|0|1|0|8
Cole Sands|1.0|0|1|0|2|0|0|0|1|4
Hogan Harris|5.0|0|0|2|2|0|0|2|4|21
Luis Medina|2.1|0|0|0|2|0|0|2|1|10
George Soriano|3.0|0|0|0|0|0|0|1|1|11
John King|2.0|0|0|0|2|0|0|0|1|7
DL Hall|3.0|0|0|0|7|0|0|2|3|14
Steven Cruz|0.2|0|0|0|1|0|0|0|0|2
Robert Garcia|2.2|0|0|1|3|0|0|1|2|10
Gus Varland|1.1|0|0|1|1|0|0|0|0|4
Tim Herrin|0.2|0|0|0|0|0|0|2|0|4
Abner Uribe|2.0|0|0|1|2|0|0|1|1|8
Justin Slaten|1.1|0|0|1|3|0|0|1|2|7
Tyler Holton|1.2|0|0|0|1|0|0|0|3|8
Erik Miller|1.2|0|0|0|1|0|0|1|1|7
Jose Franco|1.2|0|0|1|0|0|0|3|0|7
Cole Henry|2.1|0|0|0|2|0|0|4|2|13
Eric Orze|1.1|0|0|1|0|0|0|0|1|5
Daniel Palencia|2.0|0|0|0|2|0|0|3|0|8
Walbert Urena|1.2|0|0|1|2|0|0|5|3|15
Sam Bachman|3.0|0|0|1|5|0|0|0|4|13
Bubba Chandler|4.1|0|0|0|6|0|0|0|6|19
Ben Casparius|0.2|0|0|0|1|0|0|1|1|4
David Morgan|5.0|0|0|0|4|0|0|5|3|22
Reynaldo Lopez|6.0|0|0|0|3|1|1|3|2|22
Tobias Myers|6.0|0|0|1|5|1|1|2|1|20
Tomoyuki Sugano|4.2|0|0|0|4|1|1|2|2|18
Chad Patrick|4.1|0|0|0|4|1|1|5|1|19
Tyler Alexander|4.0|0|2|0|3|0|1|3|2|18
Jovani Moran|4.0|0|0|0|4|1|1|2|1|15
Anthony Nunez|4.0|0|0|0|5|1|1|2|0|14
Zach Eflin|3.2|0|0|0|7|1|1|4|2|17
Peyton Pallette|3.2|0|0|0|3|0|1|2|1|15
David Bednar|3.1|0|3|0|2|0|1|4|2|15
Ben Brown|6.2|0|0|0|8|1|2|4|2|25
Shawn Armstrong|3.1|0|0|2|4|1|1|5|1|15
Edwin Diaz|3.0|0|2|0|4|0|1|1|2|13
Lake Bachar|3.0|0|0|0|3|0|1|1|1|11
Shaun Anderson|3.0|0|0|0|1|0|1|1|2|11
Cody Bolton|3.0|0|1|0|5|1|1|3|1|13
Ryan Weiss|3.0|0|0|0|5|1|1|2|2|13
Clayton Beeter|3.0|0|1|1|1|0|1|1|2|12
Robbie Ray|5.1|0|0|0|4|1|2|5|0|21
Mark Leiter Jr.|2.2|0|1|0|1|0|1|5|0|13
Tanner Scott|2.2|0|0|0|4|1|1|2|0|10
Kolby Allard|2.2|0|0|0|5|1|1|2|1|11
Simeon Woods Richardson|5.0|0|0|0|2|1|2|5|1|20
Nolan McLean|5.0|0|0|0|8|1|2|4|2|22
Rhett Lowder|5.0|0|0|0|5|1|2|3|2|20
Eury Perez|7.0|0|0|0|8|2|3|5|1|27
Kyle Bradish|4.2|0|0|0|4|1|2|2|3|19
Tommy Nance|2.1|0|0|1|3|0|1|2|2|11
Eduard Bazardo|2.1|0|0|0|2|0|1|1|3|11
Jose Quintana|4.1|0|0|0|2|0|2|4|4|19
Jack Flaherty|4.1|0|0|0|2|0|2|4|4|21
Kevin Ginkel|2.0|0|0|0|1|0|1|2|0|8
Daniel Lynch IV|2.0|0|0|1|3|0|1|1|3|11
Ron Marinaccio|4.0|0|0|0|4|1|2|3|0|15
Grant Taylor|2.0|0|0|0|4|0|1|3|2|11
Isaac Mattson|4.0|0|0|1|4|0|2|4|3|19
