name|pa|ab|h|hr|r|rbi|sb|so|bb|hbp|sf|x1b|x2b|x3b
Yordan Alvarez|50|34|12|4|10|10|1|7|13|2|1|5|3|0
Andy Pages|40|38|18|3|6|12|1|7|2|0|0|12|3|0
Wilyer Abreu|41|40|16|3|6|8|0|9|1|0|0|8|4|1
Jose Altuve|49|37|14|2|12|6|1|7|12|0|0|8|4|0
Cam Smith|45|37|11|3|9|6|3|11|7|1|0|6|2|0
Joey Wiemer|26|21|10|2|8|4|0|6|5|0|0|7|0|1
Ben Rice|36|27|10|3|10|11|0|9|9|0|0|3|4|0
Yandy Diaz|47|41|17|2|7|10|1|7|4|2|0|13|1|1
Drake Baldwin|49|44|14|5|11|13|0|5|4|1|0|8|1|0
Jordan Walker|39|35|11|3|8|9|1|11|4|0|0|6|2|0
Maikel Garcia|45|38|13|1|5|7|1|5|6|0|1|8|4|0
Chandler Simpson|41|38|15|0|5|1|4|2|3|0|0|14|0|1
Dalton Rushing|10|9|6|3|4|4|0|1|0|1|0|3|0|0
Ryan O'Hearn|41|33|12|3|5|11|0|7|7|0|1|7|2|0
Kyle Isbel|28|27|12|2|5|5|3|5|0|0|0|9|1|0
Sal Stewart|42|34|12|2|5|5|2|6|8|0|0|7|3|0
Shea Langeliers|39|36|11|5|7|8|0|12|3|0|0|6|0|0
Corbin Carroll|39|32|10|2|7|9|1|8|6|0|1|5|1|2
Xavier Edwards|40|37|16|1|9|5|2|4|2|0|0|12|3|0
CJ Abrams|41|35|10|4|8|13|2|7|5|1|0|6|0|0
Brandon Lowe|40|33|9|3|4|4|0|6|7|0|0|4|2|0
Mauricio Dubon|38|36|12|2|6|7|0|7|2|0|0|8|2|0
Nico Hoerner|43|33|9|0|6|5|4|6|7|2|1|4|5|0
Liam Hicks|30|25|8|3|7|12|0|1|2|2|1|4|1|0
T.J. Rumfield|36|33|12|2|5|7|0|7|3|0|0|8|1|1
Christian Walker|47|42|14|2|8|12|0|7|5|0|0|6|6|0
Christian Yelich|41|38|15|1|10|9|1|11|3|0|0|11|2|1
Brandon Nimmo|45|39|14|1|7|4|1|10|5|1|0|11|1|1
Otto Lopez|41|37|13|1|8|3|2|7|3|1|0|10|1|1
Zach Neto|51|43|10|4|10|6|1|12|8|0|0|4|2|0
Cody Bellinger|40|30|8|1|8|3|2|4|9|0|1|5|1|1
Corey Seager|44|37|10|3|7|6|1|10|6|0|1|7|0|0
Willson Contreras|44|34|8|2|5|4|0|10|8|2|0|5|1|0
Kevin McGonigle|44|38|11|0|6|5|1|6|6|0|0|6|4|1
Randy Arozarena|47|37|11|0|9|3|2|5|8|2|0|8|3|0
