name|pa|ab|h|hr|r|rbi|sb|so|bb|hbp|sf|x1b|x2b|x3b
Sal Frelick|22|17|3|1|3|2|0|3|4|1|0|1|1|0
Maikel Garcia|17|14|4|0|1|0|1|2|3|0|0|3|1|0
Jackson Merrill|20|18|4|1|3|4|0|4|2|0|0|2|1|0
Max Muncy|20|19|4|1|4|2|1|8|1|0|0|1|2|0
Matt Chapman|21|18|4|1|3|2|0|3|3|0|0|3|0|0
Nico Hoerner|21|17|4|0|4|2|3|3|3|0|1|2|2|0
Fernando Tatis Jr.|20|17|4|0|2|1|2|5|3|0|0|3|1|0
Pete Crow-Armstrong|22|19|5|0|4|2|2|6|2|0|0|5|0|0
Kyle Tucker|21|19|4|0|4|2|2|8|2|0|0|3|1|0
Ildemaro Vargas|4|4|2|1|2|1|0|0|0|0|0|1|0|0
Deyvison De Los Santos|2|2|1|0|0|0|0|0|0|0|0|0|1|0
Braxton Fulford|5|5|2|1|2|2|0|2|0|0|0|1|0|0
Myles Straw|3|3|2|0|2|0|0|0|0|0|0|2|0|0
Alex Freeland|6|6|2|1|2|1|0|0|0|0|0|0|1|0
Austin Hedges|4|4|2|0|2|0|0|1|0|0|0|1|1|0
Tristan Gray|4|4|2|0|0|3|0|1|0|0|0|1|1|0
Davis Schneider|4|4|1|1|1|2|0|1|0|0|0|0|0|0
Connor Wong|7|7|3|0|0|1|0|3|0|0|0|1|2|0
Tyler Heineman|7|6|3|0|3|0|0|1|1|0|0|3|0|0
Dominic Smith|10|9|3|1|2|4|0|1|1|0|0|2|0|0
Alec Burleson|22|17|6|1|3|5|1|1|4|0|1|4|1|0
Brandon Marsh|17|15|6|0|1|2|1|3|2|0|0|4|2|0
Austin Martin|7|5|2|0|0|0|1|1|2|0|0|2|0|0
Trevor Larnach|7|6|2|0|2|1|0|1|1|0|0|1|1|0
Everson Pereira|15|14|4|1|3|1|0|5|1|0|0|2|1|0
Carlos Narvaez|10|9|4|0|1|0|0|3|0|0|0|4|0|0
Ezequiel Duran|9|9|2|1|2|2|0|3|0|0|0|0|1|0
Chase Meidroth|17|14|3|1|2|1|0|5|3|0|0|1|1|0
Christian Vazquez|5|3|1|0|1|2|0|1|1|0|0|1|0|0
Brady House|20|19|6|1|5|3|0|7|1|0|0|5|0|0
Adolis Garcia|19|18|5|1|2|3|0|5|0|0|1|2|2|0
Miguel Rojas|11|11|4|0|1|0|0|2|0|0|0|3|1|0
Pedro Pages|11|11|3|1|2|2|0|1|0|0|0|2|0|0
Troy Johnston|11|11|3|1|1|2|0|3|0|0|0|2|0|0
Geraldo Perdomo|21|19|5|1|2|2|1|2|2|0|0|3|1|0
Elly De La Cruz|23|20|4|2|2|2|0|9|3|0|0|2|0|0
Willy Adames|20|20|6|1|2|2|0|6|0|0|0|4|1|0
Brice Matthews|10|10|2|1|1|1|0|7|0|0|0|0|1|0
Gabriel Moreno|17|16|5|0|2|2|0|3|1|0|0|3|2|0
Junior Caminero|23|17|5|0|2|0|0|4|6|0|0|5|0|0
Joey Loperfido|16|16|5|0|2|1|1|3|0|0|0|3|2|0
George Springer|24|22|4|2|2|3|0|8|2|0|0|1|1|0
Jordan Lawlar|14|13|4|0|2|1|1|4|1|0|0|3|1|0
Taylor Ward|23|20|6|0|2|2|0|4|3|0|0|5|1|0
Alex Bregman|23|21|4|2|2|2|0|2|2|0|0|2|0|0
Colton Cowser|12|10|3|0|3|1|0|2|1|0|1|2|1|0
Carlos Correa|26|23|7|0|4|4|0|3|3|0|0|6|1|0
Matt McLain|23|17|4|0|2|1|0|5|5|1|0|3|1|0
Trent Grisham|19|17|4|0|2|2|1|3|2|0|0|2|1|1
Ozzie Albies|20|19|5|1|2|1|0|0|1|0|0|4|0|0
Ernie Clement|21|21|6|0|1|2|0|1|0|0|0|3|3|0
Nasim Nunez|15|13|4|0|3|2|3|5|1|1|0|4|0|0
Michael Busch|22|18|4|0|4|1|0|2|4|0|0|2|2|0
Ceddanne Rafaela|16|16|4|1|2|2|0|3|0|0|0|3|0|0
Isaac Paredes|22|19|4|0|3|4|0|5|2|1|0|1|3|0
Steven Kwan|26|24|7|0|2|2|1|3|2|0|0|6|1|0
Manny Machado|20|15|3|0|2|0|0|4|5|0|0|2|1|0
Shohei Ohtani|22|15|3|0|2|0|0|3|6|1|0|3|0|0
Parker Meadows|13|12|3|0|1|2|1|3|1|0|0|2|1|0
Gleyber Torres|23|16|3|0|4|0|0|5|7|0|0|3|0|0
Agustin Ramirez|20|16|3|0|2|0|1|4|4|0|0|2|1|0
Garrett Mitchell|14|10|2|0|2|3|2|5|3|0|0|2|0|0
Alec Bohm|21|17|2|1|2|4|0|1|3|1|0|1|0|0
Bobby Witt Jr.|16|15|4|0|1|1|1|2|1|0|0|4|0|0
Heliot Ramos|20|18|4|0|1|2|0|8|2|0|0|3|1|0
Leo Rivas|22|20|4|0|2|1|0|6|2|0|0|3|0|1
Bryson Stott|13|12|3|0|0|1|1|2|1|0|0|3|0|0
Jarren Duran|18|13|2|0|2|1|2|4|4|1|0|2|0|0
David Hamilton|13|8|1|0|3|1|3|0|4|0|0|1|0|0
Eli White|6|5|1|0|1|0|0|2|1|0|0|1|0|0
