name|stuff_plus|location_plus|pitching_plus
Scott Effross|111|130|133
Trevor Megill|128|106|133
Aroldis Chapman|108|125|130
José Alvarado|113|111|129
Jacob Misiorowski|119|104|129
Griffin Jax|109|117|127
Graham Ashcraft|122|101|124
Hunter Greene|124|102|123
Chris Martin|113|119|123
Jeremiah Estrada|108|116|123
Jhoan Duran|125|97|123
Edgardo Henriquez|131|92|122
Emmanuel Clase|122|102|122
Tyler Rogers|128|105|122
Reid Detmers|112|112|122
Aaron Ashby|123|103|121
Chase Burns|115|106|121
Zack Wheeler|112|107|120
Orion Kerkering|122|104|120
Jacob deGrom|111|106|119
Tarik Skubal|116|105|119
Adrian Morejon|120|102|119
Ryan Helsley|127|95|119
Robert Suarez|113|107|118
Randy Rodríguez|121|95|118
Spencer Schwellenbach|110|109|118
Shohei Ohtani|119|99|118
Grant Taylor|95|121|117
Cristopher Sánchez|114|101|117
Ryne Stanek|116|101|117
Devin Williams|114|101|117
Tanner Scott|117|101|116
Paul Skenes|107|111|116
Ben Casparius|116|103|115
Bubba Chandler|109|104|115
Louis Varland|111|102|115
Justin Bruihl|111|107|115
Cade Smith|108|107|115
Abner Uribe|117|99|114
Tim Hill|122|97|114
Josh Hader|118|100|114
Luis García|109|107|114
Jake Bird|117|102|114
Mason Miller|123|89|113
Gabe Speier|113|107|113
Carlos Vargas|115|99|113
Max Fried|111|102|113
Jesús Luzardo|102|112|113
Michael Petersen|115|101|113
Manuel Rodríguez|105|105|113
Nolan McLean|117|95|113
Blake Snell|98|112|113
Calvin Faucher|113|100|112
Garrett Crochet|116|99|112
Tanner Banks|111|106|112
Reed Garrett|114|96|112
Jordan Wicks|104|110|112
Will Vest|106|108|112
Jose A. Ferrer|110|104|112
Pete Fairbanks|111|104|112
Bailey Horn|114|94|111
Alex Vesia|119|96|111
Jonathan Loáisiga|114|97|111
Angel Zerpa|117|98|111
Mason Montgomery|125|87|111
Bryan Woo|105|110|111
Dylan Lee|104|106|111
Andrew Kittredge|101|108|111
Daniel Palencia|116|95|111
John Schreiber|101|112|111
Logan Webb|105|107|111
Tommy Nance|100|109|111
Yoshinobu Yamamoto|98|110|110
Bryan Baker|108|104|110
David Bednar|106|107|110
Ryan Thompson|116|99|110
Eury Pérez|118|94|110
Cooper Criswell|103|112|110
Anthony Bender|115|97|110
Yimi García|119|91|110
George Kirby|98|112|109
Steven Okert|115|97|109
Kevin Kelly|111|104|109
Max Kranick|102|107|109
Cam Schlittler|114|97|109
Zack Kelly|113|99|109
Steven Matz|103|111|109
Justin Hagenman|97|110|109
Framber Valdez|108|99|109
Caleb Thielbar|111|102|109
Kenley Jansen|114|98|109
Justin Slaten|104|102|109
Rafael Montero|98|108|109
J.T. Ginn|96|108|109
Justin Wrobleski|104|107|109
Drew Rasmussen|112|100|109
Paul Sewald|113|99|109
Drew Pomeranz|106|106|109
Brooks Raley|118|95|109
Payton Tolle|119|92|109
Garrett Whitlock|99|112|108
Shelby Miller|99|110|108
Brock Stewart|113|97|108
Phil Maton|104|102|108
Kyle Leahy|101|105|108
Emmet Sheehan|102|104|108
Zebby Matthews|106|103|108
Aaron Nola|105|104|108
Corbin Burnes|102|102|108
José Soriano|95|111|108
Félix Bautista|93|108|108
Riley O'Brien|113|94|108
Logan Gilbert|96|110|108
Dylan Cease|108|100|107
Max Meyer|97|107|107
Connelly Early|98|108|107
Dietrich Enns|109|101|107
José Castillo|105|102|107
Kyle Finnegan|105|104|107
Joel Peguero|124|85|107
Janson Junk|94|113|107
Edward Cabrera|105|101|107
Carlos Hernández|107|98|107
Trevor McDonald|95|110|107
Hurston Waldrep|103|101|107
Ranger Suárez|96|113|107
Shane Baz|107|98|107
Sandy Alcantara|108|101|107
JoJo Romero|106|101|107
Freddy Peralta|102|104|107
Cole Ragans|109|100|107
Ryan Weathers|103|103|107
Ronny Henriquez|110|96|107
Garrett Cleavinger|111|100|107
Hoby Milner|106|105|106
Brenan Hanifee|102|105|106
David Robertson|107|96|106
Clay Holmes|104|101|106
A.J. Minter|109|97|106
Pierson Ohl|94|115|106
Casey Legumina|107|102|106
Mason Fluharty|118|90|106
Tyler Zuber|110|100|106
Blake Treinen|113|98|106
Joe Ryan|103|106|106
Ryne Nelson|108|100|106
Pablo López|93|112|106
Parker Messick|96|109|106
Ryan Pepiot|109|97|106
Jacob Latz|103|102|106
Jesus Tinoco|100|106|106
Frankie Montas|106|100|106
Tyler Phillips|98|107|106
Matt Svanson|110|100|106
Chris Sale|107|105|106
Braydon Fisher|106|100|105
Ben Bowden|104|107|105
Richard Fitts|103|101|105
Caleb Ferguson|108|100|105
Edwin Díaz|110|93|105
Tim Mayza|102|103|105
Emilio Pagán|112|97|105
Victor Vodnik|97|102|105
Tyler Kinley|106|100|105
Luis Severino|110|97|105
Connor Brogdon|106|100|105
Tyler Holton|103|103|105
Kyle Bradish|95|111|105
Juan Morillo|111|94|105
Brock Burke|102|102|105
Steven Wilson|98|103|105
Anthony DeSclafani|99|104|105
Braxton Ashcraft|105|101|105
Blade Tidwell|107|95|105
