name|barrel_pct|hard_hit_pct|woba|xwoba
Carson McCusker|7.7|30.8|.170|.218
Tristan Peters|0.0|40.0|.000|.146
Dane Myers|7.8|42.0|.275|.308
Ryan Kreidler|4.8|28.6|.150|.236
Kyren Paris|16.4|47.8|.283|.265
Austin Martin|5.5|38.6|.333|.345
Yainer Diaz|9.6|42.2|.300|.326
Jake Fraley|4.9|34.5|.316|.315
Jose Altuve|6.2|30.9|.331|.300
Jhonny Pereda|4.1|44.9|.295|.254
Colt Keith|9.2|43.7|.326|.341
Andrés Chaparro|11.1|37.8|.228|.254
Shea Langeliers|11.2|44.9|.364|.328
Ryan Noda|8.7|34.8|.211|.245
Tristan Gray|13.1|44.3|.298|.349
Kyle Tucker|10.8|40.4|.363|.372
Ernie Clement|2.4|26.0|.308|.289
Austin Slater|14.3|48.0|.280|.332
Blake Sabol|10.0|40.0|.157|.208
Miles Mastrobuoni|2.3|36.4|.282|.322
Logan O'Hoppe|13.3|46.9|.273|.301
Hunter Goodman|12.8|46.9|.359|.324
Tristin English|0.0|35.7|.123|.131
Nick Maton|5.7|37.1|.273|.236
Oscar Gonzalez|6.5|45.7|.217|.298
Scott Kingery|6.3|31.3|.182|.196
Matt Olson|14.3|53.3|.366|.360
Elias Díaz|7.5|38.7|.269|.267
Cam Smith|6.9|40.8|.298|.304
Sal Stewart|17.5|52.5|.355|.398
Nick Castellanos|7.6|34.5|.300|.302
Isaac Collins|4.9|38.9|.344|.322
Manuel Margot|0.0|14.3|.265|.301
Otto Kemp|12.1|44.7|.308|.310
Thomas Saggese|5.6|44.1|.282|.280
Bo Bichette|7.9|48.8|.361|.353
Kameron Misner|5.3|29.8|.272|.247
Petey Halpin|0.0|0.0|.393|.279
Nick Fortes|4.6|37.9|.286|.270
Dylan Moore|8.6|34.3|.280|.262
Santiago Espinal|0.7|25.7|.259|.254
Chandler Simpson|0.0|17.3|.296|.297
Wyatt Langford|14.0|48.4|.337|.346
Carson Williams|8.9|35.7|.248|.233
Masataka Yoshida|6.5|44.0|.302|.314
Nate Eaton|6.3|37.5|.322|.293
Mauricio Dubón|1.2|26.3|.283|.278
Max Kepler|11.6|44.7|.300|.332
Riley Greene|17.1|45.5|.343|.335
Rhys Hoskins|10.3|46.4|.324|.314
Daniel Johnson|12.5|42.5|.243|.305
Wilyer Abreu|12.3|44.9|.334|.335
Pavin Smith|11.7|46.1|.348|.319
Denzer Guzman|15.0|45.0|.243|.212
Jerar Encarnacion|5.0|45.0|.247|.297
Seiya Suzuki|16.6|48.7|.343|.352
Jack Suwinski|11.8|38.7|.250|.310
Jonathan India|5.8|36.8|.301|.315
Matt Wallner|13.8|45.5|.334|.327
Sam Hilliard|17.9|57.1|.326|.301
Jacob Young|1.9|34.2|.264|.297
Mickey Moniak|13.8|45.3|.348|.337
