name|team|pos|pa|hr|r|rbi|sb|so|avg|obp|slg|war
Brandon Lowe|PIT|2B|546|23|69|68|4|140|243|310|434|18
Christian Yelich|MIL|OF|630|20|81|80|17|153|256|343|414|18
Carter Jensen|KCR|C/DH|401|12|46|47|4|104|245|322|411|18
Chase DeLauter|CLE|OF|462|13|54|52|3|84|248|320|403|18
Josh Jung|TEX|3B|567|18|62|68|4|143|248|294|404|17
Sean Murphy|ATL|C|390|17|44|48|0|105|222|313|416|17
Justin Crawford|PHI|OF|476|7|63|48|25|99|276|331|383|17
Ha-Seong Kim|ATL|SS|413|9|47|42|15|74|244|330|368|17
Nolan Schanuel|LAA|1B|616|15|74|65|6|85|265|357|402|17
Kerry Carpenter|DET|DH/OF|490|24|63|78|2|116|258|314|481|17
Victor Scott II|STL|OF|581|9|65|50|38|125|226|299|325|17
Nick Gonzales|PIT|2B|420|8|46|45|2|86|264|318|405|17
Gavin Lux|TBR|2B|455|7|53|41|3|99|257|337|373|17
Ryan McMahon|NYY|3B|490|17|53|55|3|156|211|304|371|17
Pedro Pagés|STL|C|358|10|34|39|1|92|228|284|366|16
Jared Triolo|PIT|3B|532|9|59|49|14|121|245|329|363|16
Christian Walker|HOU|1B|595|27|70|80|3|155|231|306|430|16
Brayan Rocchio|CLE|SS|504|10|57|51|12|93|239|310|366|16
Eugenio Suárez|CIN|3B|616|35|79|97|3|185|235|312|474|16
Brandon Marsh|PHI|OF|497|14|59|59|10|141|256|331|415|16
Mike Yastrzemski|ATL|OF|476|17|59|53|5|112|229|323|416|16
Luis García Jr.|WSN|2B|497|15|59|64|13|77|272|312|430|16
Jordan Lawlar|ARI|3B/SS|476|10|57|51|17|124|237|312|383|16
Ryan O'Hearn|PIT|1B/DH|546|15|64|63|3|103|267|341|420|15
Adolis García|PHI|OF|609|28|75|88|13|160|241|298|442|15
Sal Stewart|CIN|1B/3B|504|18|65|69|8|96|264|328|440|15
Connor Norby|MIA|3B|504|15|62|59|9|135|245|304|403|15
Brooks Lee|MIN|3B/SS|595|16|63|68|4|101|248|299|389|15
Garrett Mitchell|MIL|OF|399|9|48|44|14|119|238|317|385|15
Brett Baty|NYM|3B|434|17|52|55|5|106|249|317|424|15
Dylan Beavers|BAL|OF|399|12|50|47|11|92|246|338|407|15
Ke'Bryan Hayes|CIN|3B|532|10|55|53|11|107|244|300|355|15
Kyle Manzardo|CLE|1B/DH|497|22|58|68|2|117|239|322|449|15
Samuel Basallo|BAL|C|438|21|53|62|2|108|239|306|447|15
Cole Young|SEA|2B|392|7|44|40|5|67|236|321|358|14
Daylen Lile|WSN|OF|574|11|68|66|14|103|267|322|418|14
Jac Caglianone|KCR|OF|462|20|56|63|3|99|255|320|450|14
Salvador Perez|KCR|C|618|27|65|89|0|129|251|299|442|14
Josh Smith|TEX|3B/SS|497|10|59|45|9|93|244|332|370|14
Yoán Moncada|LAA|3B|455|15|51|54|1|124|239|318|408|14
Agustín Ramírez|MIA|C/DH|507|19|63|66|12|99|244|307|426|14
Davis Schneider|TOR|2B/OF|322|12|40|39|4|92|220|328|407|14
Marcell Ozuna|PIT|DH/OF|525|23|63|70|0|128|246|343|441|14
Jose Trevino|CIN|C|282|7|29|29|1|42|240|286|367|14
Jesús Sánchez|TOR|OF|420|15|51|52|9|102|246|313|424|13
Bryan Reynolds|PIT|OF|644|19|73|76|5|158|253|325|414|13
Jo Adell|LAA|OF|609|33|73|93|9|164|235|299|462|13
