name|team|pos|pa|hr|r|rbi|sb|so|avg|obp|slg|war
Tommy Troy|ARI|2B/SS|63|1|6|6|1|13|238|308|352|1
Zach Dezenzo|HOU|1B/OF|98|3|12|11|1|30|240|304|397|1
Endy Rodríguez|PIT|C|54|1|6|6|0|11|242|310|386|1
Nelson Velázquez|STL|DH/OF|91|3|10|11|1|24|221|292|393|1
Adael Amador|COL|2B|70|1|8|7|2|12|250|332|377|1
Alejandro Osuna|TEX|OF|56|1|7|6|2|12|246|328|372|1
Anthony Santander|TOR|OF|56|3|7|8|0|13|228|308|443|1
Santiago Espinal|LAD|2B/3B|105|1|10|9|1|14|249|303|334|1
Drew Gilbert|SFG|OF|77|2|8|8|1|15|230|305|375|1
Tommy Pham||OF|154|3|17|15|3|35|242|315|370|1
Chas McCormick|CHC|OF|70|2|8|8|2|19|228|306|365|1
Isiah Kiner-Falefa|BOS|SS|161|2|16|15|5|27|252|296|336|1
Orlando Arcia|MIN|SS|98|2|9|10|0|20|227|283|353|1
Nick Castellanos|SDP|3B/OF|371|12|41|46|3|88|249|296|407|1
Rafael Flores Jr.|PIT|1B|53|1|5|5|0|15|246|309|386|1
Enrique Hernández|LAD|OF|182|5|20|21|1|42|225|281|369|1
Tom Murphy||C|51|2|6|6|0|15|233|301|394|1
Jerar Encarnacion|SFG|OF|91|3|10|12|1|29|237|301|401|1
David Fry|CLE|DH|178|6|19|21|1|49|218|294|377|1
Jorge Barrosa|ARI|OF|112|2|12|10|2|26|227|297|338|1
Rowdy Tellez||1B|189|8|20|24|1|46|232|296|413|1
Maximo Acosta|MIA|2B/3B/SS|63|1|7|6|2|16|224|286|344|1
Ben Gamel|ATL|OF|70|2|8|7|1|21|227|322|363|1
Nelson Rada|LAA|OF|63|0|7|5|3|15|240|321|305|1
Tristan Gray|MIN|1B/2B/3B|63|2|7|7|0|18|220|278|377|1
Ryan Kreidler|MIN|3B/SS|105|2|11|9|3|32|196|291|304|1
John Rave|KCR|OF|98|2|11|10|3|26|229|303|372|1
Nate Eaton|BOS|3B/OF|63|1|7|7|2|16|240|298|375|1
Jhostynxon Garcia|PIT|OF|273|7|31|29|3|76|231|288|379|1
Korey Lee|CHW|C|109|3|12|12|1|29|220|267|356|1
Joey Wiemer|WSN|OF|119|3|12|12|3|36|208|284|342|1
TJ Rumfield|COL|1B|112|3|13|12|1|23|261|330|400|0
Adrian Del Castillo|ARI|C/DH|138|4|15|16|0|39|230|300|389|0
Tanner Murray|CHW|2B/3B|56|1|6|6|0|13|230|273|346|0
Zac Veen|COL|OF|119|3|14|13|4|28|250|311|395|0
Justin Turner||3B|182|4|19|19|1|35|244|323|369|0
Mark Canha|TEX|OF|63|1|6|6|1|13|236|324|349|0
Chris Taylor|LAA|OF|98|2|10|9|2|32|213|292|335|0
Wilmer Flores||1B|182|6|19|22|0|33|233|304|386|0
Yohandy Morales|WSN|1B/3B|56|1|6|6|0|16|236|297|362|0
Braden Montgomery|CHW|OF|140|3|14|14|2|41|229|293|361|0
Orelvis Martinez|WSN|2B|56|2|6|6|0|16|197|270|362|0
Jarred Kelenic|CHW|OF|63|2|7|6|1|18|224|287|375|0
Charlie Condon|COL|1B/OF|189|5|20|22|1|54|244|316|390|-1
Deyvison De Los Santos|MIA|1B/3B|91|3|10|11|1|23|233|281|378|-1
Dominic Smith|ATL|1B/OF|238|6|26|26|2|48|244|311|374|-1
Kris Bryant|COL|3B/OF|56|1|6|5|0|14|238|314|369|-1
Adam Frazier|LAA|2B/OF|217|3|21|19|3|40|234|294|332|-1
Jeimer Candelario|LAA|3B|84|2|8|9|0|23|204|274|353|-1
