name|barrel_pct|hard_hit_pct|woba|xwoba
Trea Turner|5.1|37.4|.316|.288
Bryce Johnson|0|14.3|.267|.155
Tyler Freeman|0|31.5|.344|.350
George Valera|0|34.5|.238|.199
Trevor Story|3.4|43.2|.245|.258
Ian Happ|13.3|37.3|.359|.331
Daylen Lile|4.8|38.5|.320|.343
Ronny Mauricio|10.5|36.8|.227|.237
Juan Brito|2.9|32.4|.236|.257
Colson Montgomery|15.8|40.8|.372|.337
Marcus Semien|6.5|34.8|.258|.288
Chase Meidroth|4.5|37.1|.312|.307
Zach McKinstry|3|24.2|.265|.249
Shea Langeliers|14.4|48.5|.418|.399
Seiya Suzuki|10|46|.423|.390
Moisés Ballesteros|11.3|51.6|.423|.356
Griffin Conine|25|62.5|.412|.513
Brandon Valenzuela|7.7|38.5|.261|.239
Willi Castro|7.7|42.3|.291|.277
Byron Buxton|18.5|46.7|.365|.323
Gabriel Arias|16.7|50|.299|.293
Giancarlo Stanton|18|44.3|.321|.326
Ramón Laureano|13|44.2|.321|.323
Tanner Murray|8.7|43.5|.259|.276
Spencer Horwitz|1.4|27|.336|.305
Jordan Lawlar|8.3|41.7|.421|.361
Matt Shaw|6.3|33.3|.356|.315
Hao-Yu Lee|16.7|38.9|.305|.331
Joey Loperfido|5|40|.323|.280
Teoscar Hernández|11.4|41.4|.315|.316
Carson Williams|0|20|.158|.190
CJ Kayfus|21.4|50|.293|.305
Cedric Mullins|2.7|34.2|.191|.210
Aaron Judge|26.3|53.9|.435|.454
Dylan Beavers|6.5|38.7|.284|.298
Jose Trevino|0|16.7|.148|.222
Jeferson Quero|0|0|.354|.500
Mike Trout|25|51.2|.425|.474
Shohei Ohtani|20.5|51.8|.370|.404
Joey Bart|8|32|.243|.222
Jeff McNeil|1.2|34.1|.349|.339
Ty France|15.6|51.1|.363|.415
J.P. Crawford|10.4|38.8|.325|.393
Brandon Lowe|13.4|43.9|.376|.357
Jung Hoo Lee|3|34.3|.345|.328
Nasim Nuñez|0|18.9|.259|.279
Heliot Ramos|15.6|54.5|.317|.325
Nolan Schanuel|2|30.3|.301|.297
Hunter Goodman|16.7|54.5|.381|.333
Jac Caglianone|17.2|55.2|.340|.335
Will Benson|10.7|32.1|.276|.286
Coby Mayo|7.5|39.6|.251|.288
Joey Ortiz|3.8|32.7|.235|.258
Jake Fraley|8.9|24.4|.330|.292
Luken Baker|0|50|.181|.123
Sebastián Rivero|0|0|.451|.398
Casey Schmitt|14.1|44.9|.385|.369
Dylan Moore|0|33.3|.142|.235
Ryan Kreidler|18.2|27.3|.459|.481
Otto Lopez|10.2|49|.384|.353
Felix Reyes|0|22.2|.185|.234
Josh Naylor|7.3|36.5|.278|.317
Riley Greene|14.8|49.4|.384|.397
Bryan Reynolds|10|45|.367|.352
Wyatt Langford|4.9|37.7|.282|.282
Leo Jiménez|0|27.3|.328|.336
Jonathan India|5.7|31.4|.295|.286
Jake Bauers|10.1|54.4|.332|.338
Tommy Pham|0|33.3|.051|.138
Ryan Vilade|0|28.6|.337|.281
Junior Caminero|11.2|44.3|.365|.362
J.C. Escarra|9.5|38.1|.237|.256
Agustín Ramírez|4.9|39.5|.301|.284
Nick Castellanos|7.1|35.7|.202|.274
Roman Anthony|8.8|47.1|.313|.341
Daulton Varsho|6|34.9|.313|.312
Freddie Freeman|13.2|48.1|.333|.393
Paul Goldschmidt|20.8|50|.302|.390
Harrison Bader|8.3|38.9|.152|.261
Jonathan Aranda|11.3|41.3|.340|.343
Yordan Alvarez|17.4|49.5|.480|.518
Ozzie Albies|4.4|29.8|.395|.318
Corey Seager|14.8|43.2|.324|.346
Yoán Moncada|10|42|.290|.281
Max Schuemann|0|0|.354|.354
Taylor Trammell|5|45|.392|.291
Drake Baldwin|13.5|49|.382|.390
David Fry|9.5|38.1|.328|.283
Lourdes Gurriel Jr.|3.3|23.3|.213|.263
Mike Yastrzemski|3|38.8|.253|.259
Chandler Simpson|0|13.2|.316|.280
Ronald Acuña Jr.|12.5|41.7|.334|.382
Isaac Paredes|3.6|26.2|.340|.316
Ryan Ritter|0|25|.129|.166
Joc Pederson|3.6|49.1|.297|.312
Tristan Gray|11.4|42.9|.340|.310
Kyle Schwarber|21.1|50.7|.406|.387
Brooks Lee|4.9|32.9|.326|.270
Brenton Doyle|3.8|35.8|.275|.259
Gabriel Moreno|11.4|45.7|.293|.328
Blake Perkins|2.9|32.4|.191|.218
Jordan Beck|2.1|27.1|.206|.243
Bryson Stott|4.1|44.6|.263|.295
Brice Matthews|8.3|33.3|.285|.255
Austin Riley|7.7|44|.276|.288
Jasson Domínguez|0|28.6|.164|.309
Matt Chapman|4.4|34.1|.319|.280
Gunnar Henderson|11.1|45.6|.322|.305
Aramis Garcia|0|0|.301|.308
Pete Alonso|9.4|55.3|.321|.344
Cam Smith|14.7|44|.305|.339
Davis Schneider|13.3|40|.271|.301
Jorge Mateo|10.5|47.4|.291|.266
Matt McLain|8.5|31.7|.293|.318
Patrick Bailey|5.3|43.9|.204|.300
Michael Harris II|18.8|56.5|.401|.450
Bryce Teodosio|10.5|31.6|.258|.213
Alex Call|0|20|.394|.361
David Hamilton|3|27.7|.305|.312
Brendan Donovan|4.4|26.7|.423|.339
Jorbit Vivas|1.7|24.1|.323|.297
Shay Whitcomb|20|20|.214|.195
Jakob Marsee|2.3|38.6|.266|.275
Amed Rosario|12.2|40.8|.355|.378
Mookie Betts|8.3|33.3|.316|.332
Manny Machado|6.3|41.3|.322|.328
Jared Triolo|0|27.8|.271|.266
Graham Pauley|4.1|20.4|.253|.189
Brayan Rocchio|2.1|26.9|.343|.309
Kevin McGonigle|12.6|38.8|.400|.410
Zach Neto|10.8|34.9|.333|.319
Daniel Johnson|0|50|.248|.345
Adley Rutschman|7.4|44.4|.433|.309
Mauricio Dubón|6.4|31.9|.339|.314
Jake Rogers|13.6|31.8|.171|.242
Tim Tawa|2.8|27.8|.240|.270
José Tena|2.9|45.7|.288|.276
Alec Bohm|1.1|38.7|.209|.273
Julio Rodríguez|8.2|41.2|.328|.334
Ryan Mountcastle|0|41.7|.313|.301
Ben Rice|20.3|59.5|.486|.450
Cole Young|8.9|40|.338|.353
Javier Báez|3.2|28.6|.298|.294
Josh Lowe|8.9|30.4|.256|.263
Eric Haase|0|0|.364|.320
Munetaka Murakami|23.5|64.7|.410|.410
Andy Pages|5.6|52.8|.380|.350
Tyler Heineman|0|13.5|.202|.223
Rob Refsnyder|10.3|41.4|.231|.321
Michael Busch|9.1|35.2|.279|.296
Jake Mangum|0|31.5|.286|.279
Pete Crow-Armstrong|7.2|47|.298|.291
Nathaniel Lowe|13.3|51.1|.417|.415
Taylor Ward|6.3|38.5|.389|.381
Elly De La Cruz|16.1|52.9|.388|.373
Nick Loftin|3.6|39.3|.341|.344
Christian Yelich|5.4|40.5|.356|.282
Xavier Edwards|4.8|39.4|.393|.360
Kyle Stowers|3.6|64.3|.281|.323
Rafael Devers|7.1|42.9|.241|.259
Mark Vientos|3.4|39.7|.289|.286
Nico Hoerner|2.6|26.7|.371|.347
Nick Kurtz|20.3|59.4|.375|.402
Rafael Marchán|2.5|25|.129|.186
Vladimir Guerrero Jr.|11.8|46.1|.392|.391
Konnor Griffin|9.1|30.3|.287|.292
Salvador Perez|10.1|40.4|.268|.287
Kody Clemens|14.6|39.6|.302|.332
Jorge Soler|12.7|43.7|.353|.335
Tyler O'Neill|3.4|44.8|.305|.302
Kerry Carpenter|13|55.6|.353|.317
Isaac Collins|5.6|35.2|.302|.285
Drew Romo|33.3|33.3|.649|.577
Jarren Duran|10.5|40.8|.234|.279
Michael Massey|7|41.9|.271|.263
Miguel Andujar|3.4|43.1|.358|.283
Dominic Smith|8.6|37.9|.402|.394
Jordan Walker|20|58.8|.414|.396
Sam Antonacci|7.1|33.3|.353|.379
Thomas Saggese|2.9|35.3|.205|.215
Carson Kelly|10.9|50|.388|.361
Luis Rengifo|6.3|36.7|.245|.287
Maikel Garcia|8.4|44.2|.346|.339
Patrick Wisdom|||.000|.000
Elias Díaz|20|50|.520|.375
Tyrone Taylor|4.4|26.7|.260|.272
Lenyn Sosa|5.6|38.9|.253|.260
Christopher Morel|0|75|.294|.293
Max Muncy|18.4|55.3|.419|.422
Ernie Clement|0|26.5|.332|.282
Willson Contreras|17.8|47.9|.383|.405
Leo Rivas|2|12|.223|.242
Will Wilson|25|25|.464|.453
Yainer Diaz|3.6|28.9|.286|.266
Daniel Susac|5|30|.504|.387
Evan Carter|8.7|39.1|.295|.318
Corbin Carroll|13|40.6|.400|.357
Jonah Heim|3.3|26.7|.275|.264
Carson Benge|4.2|42.3|.232|.285
Noelvi Marte|0|31.6|.162|.161
Cody Bellinger|6.4|41.5|.340|.365
Garrett Mitchell|15.2|47.8|.346|.338
Alex Bregman|7.4|45.4|.326|.335
Francisco Alvarez|14.9|40.3|.317|.339
Luisangel Acuña|3.2|38.1|.211|.277
Tyler Soderstrom|12.5|47.7|.312|.325
Jackson Merrill|10.5|44.2|.269|.302
Victor Robles|10|20|.237|.256
Dustin Harris|0|15.2|.289|.337
Luis Arraez|0|19.2|.312|.303
Andrés Giménez|3.2|26.9|.303|.251
Vinnie Pasquantino|8.1|36|.283|.304
Caleb Durbin|1.2|29.1|.248|.269
Ramón Urías|9.5|38.1|.287|.306
Jeremiah Jackson|9.1|35.1|.334|.310
Gleyber Torres|6.4|26.6|.330|.345
Eli White|8.6|28.6|.237|.269
Sam Haggerty|0|7.1|.213|.176
Will Brennan|0|14.3|.000|.058
Adam Frazier|2.6|17.9|.339|.245
Dane Myers|12.1|30.3|.368|.471
Luis Matos|0|23.1|.206|.130
Mitch Garver|8.3|54.2|.290|.311
Bo Bichette|3.8|49|.271|.328
Denzel Clarke|3.1|46.9|.199|.194
Cal Raleigh|13.6|30.7|.291|.322
Gavin Sheets|10.6|45.5|.326|.324
Pedro Pagés|7.5|32.1|.327|.284
Christian Vázquez|2.3|27.9|.397|.268
Jorge Polanco|4.4|33.3|.244|.270
JJ Bleday|12.5|50|.399|.561
Otto Kemp|0|9.1|.148|.229
Austin Hedges|0|39.3|.305|.307
Lane Thomas|2.1|39.6|.334|.331
Ryan Jeffers|15.2|40.9|.397|.387
Ezequiel Tovar|7.4|35.8|.245|.283
Ke'Bryan Hayes|11.8|41.2|.181|.315
Carlos Correa|11|42.9|.360|.379
Joey Wiemer|12.5|40.6|.426|.307
Connor Joe|18.2|63.6|.345|.391
Justin Crawford|1.4|36.5|.324|.290
Yohel Pozo|0|35.3|.128|.247
Ildemaro Vargas|6|36.9|.488|.393
Randal Grichuk|18.2|54.5|.231|.314
Andy Ibáñez|0|26.7|.140|.212
Andrew Benintendi|10|58.3|.265|.284
Nathan Lukes|0|37|.275|.282
Luke Williams|||.708|.708
Josh Jung|5.7|53.4|.401|.373
Miguel Rojas|7|37.2|.345|.312
Edgar Quero|0|25.5|.224|.255
MJ Melendez|15.8|68.4|.430|.268
TJ Friedl|2.3|30.2|.265|.251
Braden Shewmake|14.3|28.6|.298|.256
Victor Scott II|1.6|25.8|.213|.247
Alec Burleson|12.5|47.1|.361|.393
Yandy Díaz|5.9|45|.409|.380
Travis Bazzana|0|50|.177|.268
Josh Bell|9.8|42.4|.302|.328
Everson Pereira|11.4|43.2|.335|.314
Mickey Moniak|12.9|40|.440|.330
P.J. Higgins|0|0|.209|.301
Colt Keith|6.8|52.1|.339|.342
Angel Martínez|10.1|38.5|.336|.320
Santiago Espinal|0|39.1|.211|.292
Alek Thomas|7.5|41.8|.249|.284
Brandon Lockridge|2|29.4|.302|.265
Brandon Marsh|6.2|49.4|.353|.330
William Contreras|7.8|43.1|.368|.354
Masyn Winn|2.6|26.9|.326|.308
Tristan Peters|3.9|25.5|.300|.286
Christian Walker|12.5|49|.397|.367
Jonny DeLuca|5.8|32.7|.329|.306
Adolis García|8.3|50|.313|.323
Edouard Julien|10.3|44.8|.366|.368
Jake Burger|9.2|47.1|.280|.271
Deyvison De Los Santos|25|25|.312|.221
Liam Hicks|7.8|40|.392|.373
Austin Slater|5.6|16.7|.230|.243
Jared Young|16.7|50|.369|.364
Kazuma Okamoto|14.5|52.6|.331|.346
Jacob Young|4.7|34.1|.282|.307
Richie Palacios|5.4|32.4|.313|.348
Tyler Stephenson|13.5|55.8|.266|.337
Carter Jensen|12.3|44.6|.347|.326
Dansby Swanson|13|49.4|.343|.356
Alex Freeland|11.1|40.7|.281|.309
Jose Fernandez|5.9|45.6|.356|.308
Xander Bogaerts|7.4|38.3|.346|.359
Jazz Chisholm Jr.|6.6|40.8|.283|.279
Pavin Smith|0|50|.290|.263
Leody Taveras|5.6|37|.368|.363
Michael Conforto|9.5|42.9|.384|.404
Rece Hinds|0|25|.177|.167
Austin Wells|5.1|45.8|.307|.335
Brice Turang|11.1|51.9|.404|.415
Rhys Hoskins|10.6|46.8|.345|.313
Starling Marte|12.5|33.3|.311|.276
Jose Altuve|6.5|35.9|.331|.323
Oswald Peraza|10|38.3|.363|.330
Jahmai Jones|20|56|.283|.384
Spencer Torkelson|14.5|47.8|.360|.381
Travis d'Arnaud|13.6|27.3|.237|.322
Wenceel Pérez|11.1|42.2|.220|.309
Garrett Stubbs|0|44.4|.228|.232
Miguel Vargas|12.2|46.7|.353|.372
Iván Herrera|8.8|48.4|.377|.388
Juan Soto|25|51.9|.437|.481
J.T. Realmuto|2.3|39.5|.321|.300
Austin Hays|3.3|50|.246|.283
Freddy Fermin|0|35.9|.259|.280
Ezequiel Duran|4.1|38.8|.333|.280
