name|team|pa|hr|r|rbi|sb|so|avg|obp|slg
Aaron Judge|NYY|679|53|137|114|12|160|.331|0.457|0.688
Miguel Andujar|2 Tms|341|10|36|44|1|49|.318|0.352|0.470
Jonathan Aranda|TBR|422|14|56|59|0|107|.316|0.393|0.489
Bo Bichette|TOR|628|18|78|94|4|91|.311|0.357|0.483
Jacob Wilson|ATH|523|13|62|63|5|39|.311|0.355|0.444
George Springer|TOR|586|32|106|84|18|111|.309|0.399|0.560
Romy Gonzalez|BOS|341|9|47|53|6|81|.305|0.343|0.483
Jeremy Peña|HOU|543|17|68|62|20|93|.304|0.363|0.477
Trea Turner|PHI|639|15|94|69|36|107|.304|0.355|0.457
Luke Keaschall|MIN|207|4|25|28|14|29|.302|0.382|0.445
Dominic Canzone|SEA|268|11|30|32|3|59|.300|0.358|0.481
Yandy Díaz|TBR|651|25|79|83|3|92|.300|0.366|0.482
Daylen Lile|WSN|351|9|51|41|8|56|.299|0.347|0.498
Nico Hoerner|CHC|649|7|89|61|29|49|.297|0.345|0.394
Jake Mangum|TBR|428|3|37|40|27|64|.296|0.330|0.368
Will Smith|LAD|436|17|64|61|2|89|.296|0.404|0.497
Bobby Witt Jr.|KCR|687|23|99|88|38|125|.295|0.351|0.501
Freddie Freeman|LAD|627|24|81|90|6|128|.295|0.367|0.502
Chandler Simpson|TBR|441|0|53|26|44|43|.295|0.326|0.345
Josh Naylor|2 Tms|604|20|81|92|30|83|.295|0.353|0.462
Vladimir Guerrero Jr.|TOR|680|23|96|84|6|94|.292|0.381|0.467
Luis Arraez|SDP|675|8|66|61|11|21|.292|0.327|0.392
Jakob Marsee|MIA|234|5|28|33|14|48|.292|0.363|0.478
Roman Anthony|BOS|303|8|48|32|4|84|.292|0.396|0.463
Jake Meyers|HOU|381|3|53|24|16|67|.292|0.354|0.373
Nick Kurtz|ATH|489|36|90|86|2|151|.290|0.383|0.619
Ronald Acuña Jr.|ATL|412|21|74|42|9|102|.290|0.417|0.518
Geraldo Perdomo|ARI|720|20|98|100|27|83|.290|0.389|0.462
Alec Burleson|STL|546|18|54|69|5|79|.290|0.343|0.459
Kyle Stowers|MIA|457|25|61|73|5|125|.288|0.368|0.544
Sal Frelick|MIL|594|12|76|63|19|80|.288|0.351|0.405
Brice Turang|MIL|659|18|97|81|24|150|.288|0.359|0.435
Brendan Donovan|STL|515|10|64|50|3|67|.287|0.353|0.422
Alec Bohm|PHI|504|11|53|59|2|82|.287|0.331|0.409
