name|team|role|ip|w|sv|hld|era|whip|so|hr|qs|gs|g|war
Brandon Pfaadt|ARI|SP|1630|10|0|0|422|1251|145|22|15|29|29|20
Jeffrey Springs|ATH|SP|1620|10|0|0|438|1313|138|25|14|29|29|20
Luis Severino|ATH|SP|1710|9|0|0|448|1328|137|23|14|29|29|20
Jack Leiter|TEX|SP|1480|9|0|0|429|1308|141|19|14|28|28|20
Reynaldo López|ATL|SP|1460|10|0|1|382|1255|147|17|12|24|38|20
Nolan McLean|NYM|SP|1450|10|0|0|382|1294|140|15|14|26|26|20
Foster Griffin|WSN|SP|1410|7|0|1|412|1277|126|18|11|23|35|19
Brayan Bello|BOS|SP|1530|9|0|0|422|1360|127|17|14|28|28|19
Shane Bieber|TOR|SP|1210|7|0|1|370|1192|111|15|10|19|31|19
Chris Bassitt|BAL|SP|1740|11|0|1|418|1326|158|23|14|29|37|19
Bubba Chandler|PIT|SP|1490|9|0|1|411|1328|137|18|12|26|38|19
Griffin Jax|TBR|RP|680|5|12|10|283|1064|88|6|0|0|68|19
Cade Smith|CLE|RP|700|6|30|3|285|1067|91|6|0|0|70|19
Braxton Garrett|MIA|SP|1290|7|0|1|389|1235|112|16|11|23|31|18
Trey Yesavage|TOR|SP|1280|7|0|1|379|1256|140|15|11|23|37|18
Cade Cavalli|WSN|SP|1370|7|0|0|420|1335|117|15|13|26|26|18
Edward Cabrera|CHC|SP|1370|9|0|0|392|1249|146|17|14|26|26|18
Shota Imanaga|CHC|SP|1470|9|0|0|404|1176|134|26|13|26|26|18
Shane Baz|BAL|SP|1520|9|0|0|428|1295|149|22|14|28|28|18
Hunter Greene|CIN|SP|830|5|0|0|373|1112|98|11|8|15|15|18
Cody Ponce|TOR|RP|1400|8|0|1|403|1241|138|19|9|19|47|18
Tatsuya Imai|HOU|SP|1530|9|0|0|437|1388|145|20|13|26|26|18
Zebby Matthews|MIN|SP|1160|7|0|1|399|1231|114|16|9|19|33|18
Jacob Misiorowski|MIL|SP|1350|9|0|1|399|1283|156|17|12|24|32|18
Edwin Díaz|LAD|RP|660|5|36|3|298|1070|93|7|0|0|66|17
Taj Bradley|MIN|SP|1320|7|0|1|425|1299|125|18|10|23|33|17
Justin Verlander|DET|SP|1410|8|0|0|431|1306|116|20|13|26|26|17
Ryne Nelson|ARI|SP|1670|9|0|1|409|1268|138|22|13|28|38|17
Dustin May|STL|SP|1630|9|0|1|419|1288|148|19|12|26|36|17
Jacob Lopez|ATH|SP|1220|8|0|0|417|1304|127|17|11|23|23|17
Nick Martinez|TBR|RP|1470|9|0|1|432|1295|114|19|9|21|47|17
Aroldis Chapman|BOS|RP|620|5|31|2|296|1170|88|5|0|0|62|17
Spencer Schwellenbach|ATL|SP|890|6|0|0|352|1128|87|11|9|15|15|17
