name|team|pa|hr|r|rbi|sb|so|avg|obp|slg
Adley Rutschman|BAL|8|0|0|0|0|1|0.333|0.5|0.5
Joey Loperfido|HOU|7|0|1|0|0|1|0.429|0.429|0.571
Ernie Clement|TOR|10|0|1|1|0|0|0.4|0.4|0.6
David Fry|CLE|5|0|0|0|0|3|0.4|0.4|0.6
Jake Mangum|PIT|5|0|1|0|0|0|0.4|0.4|0.6
Brandon Marsh|PHI|8|0|0|2|0|2|0.375|0.375|0.625
Byron Buxton|MIN|8|0|2|0|0|2|0.375|0.375|0.625
Alec Bohm|PHI|9|1|2|3|0|0|0.25|0.333|0.625
Brady House|WSN|9|1|3|2|0|4|0.25|0.333|0.625
Carson Kelly|CHC|5|0|0|1|0|0|0.333|0.6|0.333
Vladimir Guerrero Jr.|TOR|10|0|1|1|0|0|0.333|0.6|0.333
Christian Walker|HOU|12|0|1|1|0|1|0.3|0.417|0.5
Sal Frelick|MIL|9|1|2|2|0|2|0.143|0.333|0.571
Drake Baldwin|ATL|9|1|2|1|0|1|0.143|0.333|0.571
Nick Gonzales|PIT|10|0|1|3|0|4|0.4|0.4|0.5
Henry Davis|PIT|5|0|0|1|0|0|0.25|0.4|0.5
Jake Bauers|MIL|10|1|3|3|0|4|0.3|0.3|0.6
Kazuma Okamoto|TOR|10|0|2|0|0|3|0.375|0.5|0.375
Matt Olson|ATL|8|0|1|0|0|5|0.375|0.375|0.5
Salvador Perez|KCR|8|1|1|1|0|0|0.25|0.25|0.625
Ezequiel Tovar|COL|8|1|1|2|0|2|0.25|0.25|0.625
Chandler Simpson|TBR|7|0|2|1|0|1|0.429|0.429|0.429
Yandy Diaz|TBR|11|0|1|1|0|1|0.4|0.455|0.4
Jorge Soler|LAA|15|1|1|2|0|5|0.182|0.4|0.455
Victor Caratini|MIN|4|0|0|0|0|0|0.333|0.5|0.333
Agustin Ramirez|MIA|8|0|1|0|1|0|0.333|0.5|0.333
Jorge Polanco|NYM|10|0|2|1|0|1|0.2|0.6|0.2
Jeremy Pena|HOU|5|0|1|0|1|0|0.4|0.4|0.4
Randy Arozarena|SEA|13|0|4|0|1|1|0.222|0.462|0.333
Josh Lowe|LAA|12|1|1|3|0|5|0.182|0.25|0.545
Aaron Judge|NYY|13|2|2|3|0|7|0.154|0.154|0.615
Bryson Stott|PHI|7|0|0|0|1|1|0.333|0.429|0.333
Mookie Betts|LAD|13|1|3|4|0|1|0.182|0.308|0.455
Bobby Witt Jr.|KCR|8|0|0|0|1|2|0.375|0.375|0.375
Nathan Church|STL|8|0|2|2|0|1|0.375|0.375|0.375
Zach Neto|LAA|15|1|4|1|1|3|0.154|0.267|0.462
Cole Young|SEA|11|1|2|3|0|7|0.182|0.182|0.545
Gleyber Torres|DET|14|0|3|0|0|3|0.222|0.5|0.222
Jordan Walker|STL|8|0|3|0|0|0|0.167|0.375|0.333
Marcus Semien|NYM|9|0|0|1|0|2|0.25|0.333|0.375
Jake Meyers|HOU|9|0|2|2|1|2|0.25|0.333|0.375
Max Muncy|LAD|8|0|1|0|0|2|0.2|0.5|0.2
Andy Pages|LAD|10|1|1|3|0|1|0.2|0.2|0.5
Alek Thomas|ARI|11|0|0|3|1|2|0.2|0.273|0.4
Jarren Duran|BOS|10|0|1|1|2|2|0.25|0.4|0.25
Nasim Nunez|WSN|7|0|1|2|1|2|0.2|0.429|0.2
Nico Hoerner|CHC|9|0|2|1|1|1|0.143|0.333|0.286
Luis Arraez|SFG|12|0|0|0|1|1|0.273|0.333|0.273
Leo Rivas|SEA|11|0|0|0|0|3|0.111|0.273|0.333
Eli White|ATL|4|0|1|0|0|2|0.25|0.25|0.25
Yoan Moncada|LAA|14|0|1|0|0|3|0.1|0.357|0.1
Otto Kemp|PHI|1|0|0|0|0|0|0.0|1.0|0.0
Edmundo Sosa|PHI|1|0|1|0|0|0|0.0|1.0|0.0
Masataka Yoshida|BOS|1|0|0|0|0|0|0.0|1.0|0.0
Myles Straw|TOR|2|0|1|0|0|0|0.5|0.5|0.5
Dane Myers|CIN|2|0|0|1|0|0|0.5|0.5|0.5
Jonny DeLuca|TBR|4|0|0|2|0|0|0.5|0.5|0.5
Andrew McCutchen|TEX|5|0|0|1|0|1|0.4|0.4|0.6
Jorge Barrosa|ARI|3|0|1|0|0|2|0.333|0.333|0.667
Tristan Peters|CHW|3|0|0|0|0|2|0.333|0.333|0.667
Jordan Beck|COL|4|0|0|1|0|0|0.333|0.5|0.333
Austin Hays|CHW|6|0|0|0|0|2|0.333|0.333|0.5
Trent Grisham|NYY|11|0|1|2|1|1|0.222|0.364|0.444
Ketel Marte|ARI|13|1|1|1|0|2|0.25|0.308|0.5
Heliot Ramos|SFG|11|0|0|0|0|5|0.3|0.364|0.4
Justin Crawford|PHI|7|0|1|0|0|1|0.333|0.429|0.333
Hunter Goodman|COL|8|0|0|0|0|1|0.375|0.375|0.375
Bryan Reynolds|PIT|10|0|1|1|0|4|0.333|0.4|0.333
Juan Soto|NYM|10|0|1|1|0|0|0.333|0.4|0.333
Carlos Correa|HOU|13|0|1|2|0|2|0.333|0.385|0.333
Jacob Young|WSN|7|1|1|2|0|2|0.143|0.143|0.571
Tyler Soderstrom|ATH|9|0|0|1|0|4|0.25|0.333|0.375
Ben Rice|NYY|9|0|1|2|0|3|0.25|0.333|0.375
Ian Happ|CHC|10|1|1|3|0|4|0.2|0.2|0.5
Colton Cowser|BAL|5|0|1|1|0|2|0.25|0.2|0.5
William Contreras|MIL|10|0|1|3|0|0|0.143|0.4|0.286
Joey Bart|PIT|3|0|0|0|0|1|0.333|0.333|0.333
Kyle Isbel|KCR|3|0|0|0|1|0|0.333|0.333|0.333
Blaze Alexander|BAL|3|0|0|1|0|1|0.333|0.333|0.333
Ceddanne Rafaela|BOS|9|0|1|1|0|1|0.333|0.333|0.333
Troy Johnston|COL|3|0|0|0|0|1|0.333|0.333|0.333
Austin Martin|MIN|3|0|0|0|1|0|0.333|0.333|0.333
Tim Tawa|ARI|3|0|0|0|0|1|0.333|0.333|0.333
Brett Baty|NYM|9|0|2|3|1|3|0.222|0.222|0.444
Lane Thomas|KCR|5|0|0|0|0|2|0.25|0.4|0.25
