name|team|ip|w|sv|hld|era|whip|so|hr|qs|gs|g
Janson Junk|MIA|110|6|1|0|4.17|1.136|77|8|6|16|21
Josh Hader|HOU|52.2|6|28|0|2.05|0.862|76|8|0|0|48
Michael King|SDP|73.1|5|0|0|3.44|1.204|76|12|2|15|15
Dylan Lee|ATL|68.1|2|2|19|3.29|0.984|76|13|0|0|74
Jacob Latz|TEX|85.2|2|1|1|2.84|1.244|76|7|1|8|33
Aaron Ashby|MIL|66.2|5|3|5|2.16|1.178|76|3|0|1|43
Justin Wrobleski|LAD|66.2|5|2|6|4.32|1.239|76|6|0|2|24
Scott Barlow|CIN|68.1|6|1|16|4.21|1.395|75|8|0|1|75
Brad Keller|CHC|69.2|4|3|25|2.07|0.968|75|4|0|1|68
Sean Manaea|NYM|60.2|2|0|0|5.64|1.229|75|13|0|12|15
Lake Bachar|MIA|71|8|3|5|3.93|1.197|75|10|0|1|53
Will Vest|DET|68.2|6|23|3|3.01|1.217|75|4|0|0|64
Tony Santillan|CIN|73.2|1|7|33|2.44|1.120|75|7|0|0|80
Louis Varland|2 Tms|72.2|4|0|22|2.97|1.205|75|6|0|1|74
Robert Suarez|SDP|69.2|4|40|0|2.97|0.910|75|6|0|0|70
Shawn Armstrong|TEX|74|4|9|12|2.31|0.811|74|5|0|2|71
Grant Anderson|MIL|69.2|2|0|6|3.23|1.272|74|8|0|0|66
Brandon Eisert|CHW|69.2|3|2|8|4.39|1.445|74|12|0|3|72
Bryce Miller|SEA|90.1|4|0|0|5.68|1.410|74|17|1|18|18
Jack Dreyer|LAD|76.1|3|4|10|2.95|1.051|74|4|0|5|67
Antonio Senzatela|COL|130|4|0|0|6.65|1.838|73|22|2|23|30
Pablo López|MIN|75.2|5|0|0|2.74|1.117|73|6|4|14|14
Raisel Iglesias|ATL|67.1|4|29|2|3.21|0.999|73|8|0|0|70
Tyler Kinley|2 Tms|72.2|6|3|13|3.96|1.191|73|6|0|0|73
Clarke Schmidt|NYY|78.2|4|0|0|3.32|1.100|73|9|7|14|14
Ryan Zeferjahn|LAA|57|6|2|17|4.74|1.474|73|12|0|1|62
Hunter Gaddis|CLE|66.2|2|3|35|3.11|1.193|73|8|0|0|73
Ryan Bergert|2 Tms|76.1|2|0|0|3.66|1.261|73|8|1|15|19
Fernando Cruz|NYY|48|3|2|16|3.56|1.188|72|5|0|0|49
Blake Snell|LAD|61.1|5|0|0|2.35|1.260|72|3|5|11|11
Luke Weaver|NYY|64.2|4|8|21|3.62|1.028|72|10|0|0|64
Camilo Doval|2 Tms|65.1|4|16|10|3.58|1.321|72|4|0|0|69
Keider Montero|DET|90.2|5|0|0|4.37|1.397|72|16|2|12|20
Jack Kochanowicz|LAA|111|3|0|0|6.81|1.748|72|21|4|23|23
Colton Gordon|HOU|86|6|1|0|5.34|1.419|72|21|1|14|20
Braxton Ashcraft|PIT|69.2|4|0|4|2.71|1.257|71|3|0|8|26
Jose A. Ferrer|WSN|76.1|4|11|21|4.48|1.275|71|5|0|0|72
Ben Casparius|LAD|77.2|7|2|13|4.64|1.282|71|8|0|3|46
Jason Adam|SDP|65.1|8|0|29|1.93|1.152|70|4|0|0|65
Matt Strahm|PHI|62.1|2|6|22|2.74|1.079|70|5|0|0|66
Gregory Soto|2 Tms|60.1|1|1|22|4.18|1.431|70|4|0|0|70
Griffin Canning|NYM|76.1|7|0|0|3.77|1.380|70|8|3|16|16
Adrian Morejon|SDP|73.2|13|3|20|2.08|0.902|70|2|0|0|75
Justin Sterner|ATH|65|4|0|16|3.18|1.046|70|10|0|1|59
Bryan King|HOU|68|5|2|27|2.78|1.044|69|10|0|0|68
Yu Darvish|SDP|72|5|0|0|5.38|1.181|68|14|3|15|15
Osvaldo Bido|ATH|79.2|2|1|0|5.87|1.616|68|19|0|10|26
Juan Mejia|COL|61.1|2|1|12|3.96|1.260|68|6|0|0|55
Robert Garcia|TEX|64|4|9|15|2.95|1.250|68|8|0|0|71
Max Meyer|MIA|64.2|3|0|0|4.73|1.433|68|12|5|12|12
Jared Koenig|MIL|66|6|2|27|2.86|1.167|68|6|0|0|72
Matt Svanson|STL|60.1|4|0|5|1.94|0.882|68|3|0|0|39
Brant Hurter|DET|63|4|2|5|2.43|1.333|68|4|0|4|43
Hayden Birdsong|SFG|65.2|4|0|3|4.8|1.503|68|10|1|10|21
Randy Rodríguez|SFG|50.2|3|4|13|1.78|0.896|67|4|0|0|50
Chase Burns|CIN|43.1|0|0|1|4.57|1.323|67|5|2|8|13
Tyler Mahle|TEX|86.2|6|0|0|2.18|1.137|66|5|7|16|16
Jake Bird|2 Tms|55.1|4|0|10|5.53|1.543|66|7|0|0|48
Mitch Spence|ATH|84.2|3|1|4|5.1|1.449|66|16|0|8|32
Yariel Rodríguez|TOR|73|3|2|14|3.08|1.151|66|8|0|1|66
Trevor Williams|WSN|82.2|3|0|0|6.21|1.545|65|11|1|17|17
Jason Alexander|2 Tms|77.1|4|1|0|4.77|1.375|65|15|5|13|18
Hogan Harris|ATH|64.2|2|4|3|3.2|1.355|65|5|0|0|48
Reese Olson|DET|68.2|4|0|0|3.15|1.217|65|5|3|13|13
Jackson Rutledge|WSN|73.1|4|0|3|5.77|1.518|65|16|0|0|63
Orion Kerkering|PHI|60|8|4|19|3.3|1.367|65|6|0|0|69
Andrew Kittredge|2 Tms|53|4|5|15|3.4|0.981|64|7|0|0|54
Reed Garrett|NYM|55.1|3|3|20|3.9|1.325|64|5|0|1|58
Cole Sands|MIN|72|4|3|13|4.5|1.167|64|7|0|3|69
Tyler Holton|DET|78.2|6|0|17|3.66|1.049|64|15|0|6|70
Emerson Hancock|SEA|90|4|0|0|4.9|1.378|64|15|5|16|22
Graham Ashcraft|CIN|65.1|8|0|23|3.99|1.429|64|2|0|0|62
Ian Seymour|TBR|57|4|0|0|3.63|1.175|64|5|1|5|19
Wandy Peralta|SDP|71.2|6|0|4|3.14|1.348|63|5|0|1|71
Ryan Helsley|2 Tms|56|3|21|1|4.5|1.536|63|8|0|0|58
Corbin Burnes|ARI|64.1|3|0|0|2.66|1.170|63|7|7|11|11
Mason Montgomery|TBR|46|1|1|10|5.67|1.652|63|6|0|0|57
Enyel De Los Santos|2 Tms|66|6|0|6|4.36|1.288|62|7|0|0|65
Shohei Ohtani|LAD|47|1|0|0|2.87|1.043|62|3|1|14|14
John Schreiber|KCR|64|3|1|23|3.8|1.188|62|10|0|0|74
Braydon Fisher|TOR|50|7|0|5|2.7|1.020|62|4|0|1|52
Tanner Gordon|COL|75.1|6|0|0|6.33|1.505|62|16|7|15|15
Lance McCullers Jr.|HOU|55.1|2|0|0|6.51|1.815|61|10|3|13|16
Anthony Banda|LAD|65|5|0|11|3.18|1.215|61|8|0|1|71
Tanner Banks|PHI|67.1|6|1|10|3.07|1.013|61|9|0|1|69
Jorge Alcala|3 Tms|55|0|0|5|6.22|1.745|61|13|0|0|56
Daniel Palencia|CHC|52.2|1|22|6|2.91|1.149|61|5|0|0|54
Spencer Bivens|SFG|81|4|3|4|4|1.333|61|6|0|0|54
Yuki Matsui|SDP|63.1|3|1|3|3.98|1.363|61|10|0|0|61
Tanner Scott|LAD|57|1|23|8|4.74|1.263|60|11|0|0|61
Trevor Megill|MIL|47|6|30|0|2.49|1.128|60|3|0|0|50
Dennis Santana|PIT|70.1|4|16|12|2.18|0.870|60|5|0|0|70
Ryan Walker|SFG|61.1|5|17|9|4.11|1.277|60|4|0|0|68
Steven Matz|2 Tms|76.2|5|2|13|3.05|1.102|59|8|0|2|53
Pierce Johnson|ATL|59|3|1|16|3.05|1.203|59|8|0|0|65
Pete Fairbanks|TBR|60.1|4|27|0|2.83|1.048|59|7|0|0|61
Keegan Akin|BAL|63.1|5|8|16|3.41|1.379|59|10|0|3|64
Calvin Faucher|MIA|60.1|4|15|7|3.28|1.281|59|8|0|0|65
Bennett Sousa|HOU|50.2|5|4|7|2.84|1.036|59|4|0|0|44
Logan Evans|SEA|81.1|6|0|0|4.32|1.393|59|13|2|15|16
Rafael Montero|3 Tms|60.1|1|0|8|4.48|1.314|58|5|0|0|59
Hoby Milner|TEX|70.1|3|0|18|3.84|1.270|58|5|0|0|73
Ryne Stanek|NYM|56|4|3|11|5.3|1.571|58|7|0|0|65
Jacob Webb|TEX|66|5|1|7|3|1.030|58|10|0|0|55
Jordan Hicks|2 Tms|67.1|2|2|2|6.95|1.669|58|6|2|9|34
Angel Zerpa|KCR|64.2|5|0|14|4.18|1.386|58|7|0|2|69
Yoendrys Gómez|3 Tms|62.2|3|1|0|5.17|1.399|58|12|0|9|21
José Buttó|2 Tms|67|5|1|6|3.9|1.403|58|4|0|0|55
Matt Brash|SEA|47.1|1|4|21|2.47|1.253|58|4|0|0|53
Joe Boyle|TBR|52|1|0|0|4.67|1.365|58|6|1|9|13
Michael McGreevy|STL|95.2|8|0|0|4.42|1.261|58|12|7|16|17
Kenley Jansen|LAA|59|5|29|0|2.59|0.949|57|8|0|0|62
Justin Wilson|BOS|48.1|4|0|18|3.35|1.414|57|3|0|0|61
Huascar Brazobán|NYM|63|5|2|12|3.57|1.238|57|6|0|3|52
Drew Pomeranz|CHC|49.2|2|1|14|2.17|1.077|57|5|0|4|57
Greg Weissert|BOS|67|6|4|17|2.82|1.164|57|6|0|0|72
Nolan McLean|NYM|48|5|0|0|2.06|1.042|57|4|4|8|8
Caleb Thielbar|CHC|58|3|1|25|2.64|0.879|56|5|0|0|67
Matt Festa|CLE|54.2|5|0|12|4.12|1.089|56|4|0|0|63
Mason Fluharty|TOR|52.2|5|1|5|4.44|1.149|56|6|0|0|55
Kumar Rocker|TEX|64.1|4|0|0|5.74|1.466|56|11|3|14|14
Jakob Junis|CLE|66.2|4|0|6|2.97|1.239|55|5|0|0|57
Kyle Finnegan|2 Tms|57|4|24|3|3.47|1.105|55|4|0|0|56
Ryan Yarbrough|NYY|64|3|1|0|4.36|1.203|55|13|2|8|19
JoJo Romero|STL|61|4|8|24|2.07|1.246|55|2|0|0|65
Casey Legumina|SEA|49.2|4|0|3|5.62|1.463|55|7|0|1|48
Hurston Waldrep|ATL|56.1|6|0|0|2.88|1.194|55|3|4|9|10
Shelby Miller|2 Tms|46|4|10|9|2.74|1.043|54|5|0|0|48
Carlos Estévez|KCR|66|4|42|0|2.45|1.061|54|5|0|0|67
Mark Leiter Jr.|NYY|48.1|6|2|14|4.84|1.538|54|5|0|0|59
Tyler Ferguson|ATH|58|4|2|11|4.66|1.328|54|4|0|0|56
Bowden Francis|TOR|64|2|0|0|6.05|1.531|54|19|3|14|14
Carlos Vargas|SEA|77|5|1|14|3.97|1.351|54|10|0|0|70
Valente Bellozo|MIA|81.1|1|0|1|4.65|1.332|54|15|0|6|32
Grant Taylor|CHW|36.2|2|6|9|4.91|1.436|54|0|0|2|36
Taylor Rogers|2 Tms|50.2|3|0|10|3.38|1.394|53|7|0|0|57
Brent Suter|CIN|67.2|1|0|0|4.52|1.295|53|11|0|3|48
Yennier Cano|BAL|58|3|2|17|5.12|1.483|53|7|0|0|65
David Festa|MIN|53.1|3|0|0|5.4|1.281|53|10|1|10|11
Kirby Yates|LAD|41.1|4|3|15|5.23|1.338|52|9|0|0|50
Brock Burke|LAA|61.2|7|0|15|3.36|1.242|52|8|0|1|69
Tyler Phillips|MIA|77.2|2|4|8|2.78|1.153|52|8|0|1|54
Brandon Walter|HOU|53.2|1|0|0|3.35|0.940|52|10|6|9|9
Cole Henry|WSN|52.2|1|2|9|4.27|1.437|52|7|0|0|57
Aaron Bummer|ATL|54.1|3|0|2|3.81|1.257|51|3|0|2|42
Caleb Ferguson|2 Tms|65.1|5|0|14|3.58|1.167|51|2|0|0|70
Steven Wilson|CHW|55.1|2|2|9|3.42|1.307|51|7|0|0|59
Tommy Kahnle|DET|63|1|9|16|4.43|1.302|50|8|0|0|66
Zach Eflin|BAL|71.1|6|0|0|5.93|1.421|50|18|6|14|14
Félix Bautista|BAL|34.2|1|19|0|2.6|1.140|50|3|0|0|35
Elvis Alvarado|ATH|42.1|1|0|4|3.19|1.330|50|6|0|0|37
David Morgan|SDP|47.1|1|0|1|2.66|1.231|50|4|0|2|41
Dietrich Enns|2 Tms|46.1|3|2|4|4.08|1.410|49|6|0|3|24
Justin Topa|MIN|60|1|4|4|3.9|1.433|49|2|0|1|54
Tyler Gilbert|CHW|51|4|1|5|3.88|1.255|49|5|0|5|46
Kaleb Ort|HOU|46|2|1|3|4.89|1.348|49|8|0|0|49
Connor Brogdon|LAA|47|3|0|4|5.55|1.340|49|11|0|0|43
Victor Vodnik|COL|50.2|4|10|7|3.02|1.414|49|4|0|0|52
Luis García|3 Tms|55.1|2|2|12|3.42|1.470|48|2|0|0|58
Tyler Rogers|2 Tms|77.1|4|0|32|1.98|0.947|48|4|0|0|81
Lucas Erceg|KCR|61.1|8|2|22|2.64|1.178|48|4|0|0|61
Ronel Blanco|HOU|48.1|3|0|0|4.1|1.185|48|7|4|9|9
Jordan Romano|PHI|42.2|2|8|7|8.23|1.469|47|10|0|0|49
Jalen Beeks|ARI|57.1|5|1|14|3.77|1.086|47|6|0|2|61
Emmanuel Clase|CLE|47.1|5|24|1|3.23|1.231|47|2|0|0|48
Kyle Bradish|BAL|32|1|0|0|2.53|1.031|47|3|3|6|6
Brandon Young|BAL|57.2|1|0|0|6.24|1.556|47|12|2|12|12
Jonathan Bowlan|KCR|44.1|1|0|2|3.86|1.224|46|6|0|1|34
Nick Mears|MIL|56.2|5|1|16|3.49|0.979|46|7|0|0|63
Yohan Ramírez|PIT|33.1|3|0|1|5.4|1.480|45|4|0|0|24
Riley O'Brien|STL|48|3|6|6|2.06|1.146|45|2|0|0|42
Isaac Mattson|PIT|47.2|3|0|12|2.45|1.144|45|4|0|0|44
Daniel Lynch IV|KCR|67.2|6|1|7|3.06|1.369|45|8|0|2|57
Tim Herrin|CLE|42.2|5|0|15|4.85|1.588|45|5|0|0|54
Hunter Dobbins|BOS|61|4|0|0|4.13|1.279|45|6|3|11|13
Martín Pérez|CHW|56|1|0|0|3.54|1.107|44|6|5|10|11
Brock Stewart|2 Tms|37.2|2|0|16|2.63|1.210|44|3|0|0|43
Taylor Clarke|KCR|55.1|1|1|5|3.25|0.853|44|8|0|0|51
Mason Englert|TBR|44.2|0|0|1|3.83|1.222|44|4|0|0|29
Chris Martin|TEX|42.1|2|2|13|2.98|1.211|43|6|0|0|49
Danny Coulombe|2 Tms|43|2|2|9|2.3|1.163|43|3|0|1|55
Brennan Bernardino|BOS|51.2|4|1|2|3.14|1.270|43|1|0|3|55
Angel Chivilli|COL|58.2|1|0|1|7.06|1.701|43|13|0|0|43
Cade Gibson|MIA|54.2|4|0|4|2.63|1.199|43|3|0|1|44
Luis Morales|ATH|48.2|4|0|0|3.14|1.162|43|8|3|9|10
Kolby Allard|CLE|65|2|0|3|2.63|1.200|42|5|0|2|33
Ian Hamilton|NYY|40|2|0|4|4.28|1.250|42|5|0|1|36
Anthony Bender|MIA|50|3|4|19|2.16|1.060|42|3|0|0|51
Johan Oviedo|PIT|40.1|2|0|0|3.57|1.222|42|6|0|9|9
Erik Sabrowski|CLE|29.1|0|0|12|1.84|1.203|42|2|0|0|33
Landon Knack|LAD|42.1|3|1|0|4.89|1.401|42|10|2|7|10
AJ Smith-Shawver|ATL|44.1|3|0|0|3.86|1.429|42|4|2|9|9
Caleb Boushley|TEX|43.1|0|1|0|6.02|1.578|41|5|0|1|25
Luis Gil|NYY|57|4|0|0|3.32|1.404|41|5|3|11|11
Tristan Beck|SFG|56.2|1|2|3|4.61|1.121|41|7|0|1|31
Brenan Hanifee|DET|60|3|0|10|3|1.317|40|3|0|0|54
Kody Funderburk|MIN|41|4|1|7|3.51|1.512|40|2|0|0|39
Porter Hodge|CHC|33|2|2|8|6.27|1.576|40|9|0|0|36
Cade Cavalli|WSN|48.2|3|0|0|4.25|1.494|40|7|2|10|10
Eric Orze|TBR|41.2|1|3|1|3.02|1.383|40|4|0|0|33
Gordon Graceffo|STL|43|3|1|0|6.28|1.465|40|2|0|0|26
Richard Fitts|BOS|45|2|0|0|5|1.311|40|11|2|10|11
Joe Ross|PHI|51|2|0|0|5.12|1.471|39|8|0|1|37
Carlos Hernández|3 Tms|43.1|1|0|1|6.23|1.671|39|4|0|0|41
Kai-Wei Teng|SFG|29.2|2|0|0|6.37|1.575|39|2|0|7|8
Mick Abel|2 Tms|39|3|0|0|6.23|1.513|39|8|2|8|10
Jackson Jobe|DET|49|4|0|0|4.22|1.490|39|7|2|10|10
José Fermin|LAA|34.1|3|0|6|4.46|1.408|39|8|0|0|40
Luke Jackson|3 Tms|51|2|9|4|4.06|1.353|38|4|0|0|52
Tony Gonsolin|LAD|36|3|0|0|5|1.417|38|9|1|7|7
Rico Garcia|3 Tms|34.1|0|0|10|3.15|1.202|38|5|0|1|29
Tobias Myers|MIL|50.2|1|0|1|3.55|1.375|38|5|0|6|22
Steven Cruz|KCR|45.2|3|0|9|3.74|1.195|38|5|0|0|47
Kyle Harrison|2 Tms|35.2|1|0|1|4.04|1.392|38|4|1|6|11
Parker Messick|CLE|39.2|3|0|0|2.72|1.327|38|4|4|7|7
Lou Trivino|3 Tms|47.2|3|0|5|3.97|1.356|37|6|0|2|47
Tim Hill|NYY|67|4|0|15|3.09|1.104|37|8|0|0|70
Shane Bieber|TOR|40.1|4|0|0|3.57|1.022|37|8|3|7|7
Kyle Hart|SDP|43|3|0|2|5.86|1.186|37|9|1|6|20
Ryan Weathers|MIA|38.1|2|0|0|3.99|1.286|37|7|0|8|8
Jack Perkins|ATH|38.2|3|3|1|4.19|1.178|37|4|1|4|12
Blake Treinen|LAD|26.2|2|2|10|5.4|1.870|36|4|0|0|32
Andrew Chafin|2 Tms|33.2|1|0|4|2.41|1.446|36|2|0|0|42
Anthony DeSclafani|ARI|38.2|1|2|1|5.12|1.283|36|11|0|4|13
Ryan Thompson|ARI|41.1|3|1|17|3.92|1.338|36|4|0|0|48
George Soriano|MIA|36.2|2|1|0|8.35|1.796|36|10|0|0|24
Juan Morillo|ARI|34.1|0|1|5|4.19|1.701|36|2|0|0|42
Josh Simpson|MIA|30.2|4|0|2|7.34|1.854|36|5|0|0|31
Chase Lee|DET|37.1|4|0|4|4.1|1.105|36|7|0|0|32
Troy Melton|DET|45.2|3|0|2|2.76|1.018|36|7|1|4|16
Seth Halvorsen|COL|39.2|1|11|4|4.99|1.582|36|7|0|0|42
Héctor Neris|3 Tms|26.2|3|0|7|6.75|1.718|35|6|0|0|35
Chad Green|TOR|43.2|3|1|7|5.56|1.481|35|14|0|0|45
Cam Booser|CHW|31|2|1|8|5.52|1.516|35|8|0|0|39
Scott Blewett|3 Tms|44.1|3|0|0|5.48|1.429|35|9|0|2|26
Génesis Cabrera|4 Tms|42.2|0|1|3|6.54|1.517|35|12|0|0|40
Zack Kelly|BOS|35.1|1|0|3|4.58|1.339|35|3|0|0|28
Cole Winn|TEX|41.2|0|0|4|1.51|0.971|35|3|0|0|33
Kevin Kelly|TBR|39.2|2|0|5|5.9|1.378|35|11|0|0|41
AJ Blubaugh|HOU|32|3|0|0|1.69|0.875|35|6|0|3|11
Carlos Carrasco|2 Tms|45.2|2|0|0|7.09|1.726|34|10|1|9|11
José Ureña|5 Tms|55|0|1|0|4.58|1.455|34|8|0|6|19
Paul Blackburn|2 Tms|39|0|1|0|6.23|1.513|34|6|0|4|15
Austin Gomber|COL|57.2|0|0|0|7.49|1.731|34|16|0|12|12
Cristian Javier|HOU|37|2|0|0|4.62|1.270|34|3|2|8|8
Konnor Pilkington|WSN|28.1|2|0|5|4.45|1.388|34|7|0|0|32
Ryan Fernandez|STL|30.1|0|1|4|7.71|1.728|34|6|0|0|32
Kyle Nicolas|PIT|38|1|0|3|4.74|1.368|34|3|0|0|31
Daysbel Hernández|ATL|37|4|0|10|3.41|1.541|33|3|0|0|39
Sam Long|KCR|40.1|2|0|1|5.36|1.746|33|7|0|0|39
Clayton Beeter|2 Tms|25.1|0|1|9|4.26|1.235|33|3|0|0|26
Logan Henderson|MIL|25.1|3|0|0|1.78|0.996|33|3|1|5|5
Caden Dana|LAA|32.1|0|0|0|6.4|1.495|33|9|1|5|7
Frankie Montas|NYM|38.2|3|0|0|6.28|1.623|32|8|0|7|9
Ryan Borucki|2 Tms|35|1|0|7|4.63|1.286|32|4|0|0|39
José Alvarado|PHI|26|4|7|5|3.81|1.308|32|4|0|0|28
Trent Thornton|SEA|42.1|2|0|5|4.68|1.306|32|6|0|0|33
Tommy Nance|TOR|31.2|2|0|5|1.99|1.026|32|0|0|0|30
Tanner Houck|BOS|43.2|0|0|0|8.04|1.713|32|10|3|9|9
Connor Phillips|CIN|25|5|0|1|2.88|0.920|32|3|0|0|21
Joey Lucchesi|SFG|38.1|0|0|6|3.76|1.234|31|4|0|0|38
Chase Shugart|PIT|45|4|0|5|3.4|1.111|31|6|0|0|35
Grant Wolfram|BAL|26.2|3|0|1|5.4|1.908|31|2|0|0|21
Bubba Chandler|PIT|31.1|4|1|0|4.02|0.932|31|2|1|4|7
Spencer Arrighetti|HOU|35.1|1|0|0|5.35|1.425|31|6|2|7|7
Travis Adams|MIN|33.2|1|0|2|7.49|1.687|31|6|0|2|18
Jaden Hill|COL|29.1|1|0|3|3.38|1.340|31|2|0|0|28
José Castillo|4 Tms|32|2|0|3|3.94|1.688|30|4|0|0|29
Lyon Richardson|CIN|37.2|0|0|3|4.54|1.559|30|2|0|0|34
Nic Enright|CLE|31|2|1|3|2.03|1.161|30|3|0|0|27
Chris Murphy|BOS|34.2|3|0|1|3.12|1.199|30|4|0|0|23
Brent Headrick|NYY|23|0|0|1|3.13|1.043|30|4|0|0|17
Dylan Dodd|ATL|35|1|0|2|3.6|0.943|30|5|0|0|28
Shinnosuke Ogasawara|WSN|38.2|1|0|1|6.98|1.571|30|9|0|2|23
Michael Kelly|ATH|39.2|4|2|7|3.18|1.301|29|5|0|0|42
Ben Lively|CLE|44.2|2|0|0|3.22|1.199|29|6|0|9|9
Nestor Cortes|2 Tms|34.1|2|0|0|6.29|1.642|29|13|2|8|8
Kevin Ginkel|ARI|25.2|1|3|6|7.36|1.667|29|2|0|0|29
Hayden Wesneski|HOU|32|1|0|0|4.5|1.094|29|7|2|6|6
Connelly Early|BOS|19.1|1|0|0|2.33|1.099|29|0|0|4|4
Ryan Pressly|CHC|41.1|2|5|7|4.35|1.533|28|6|0|0|44
Bryse Wilson|CHW|47.1|0|0|0|6.65|1.826|28|11|0|5|20
Yerry De los Santos|NYY|35.2|0|0|3|3.28|1.534|28|1|0|0|25
John King|STL|48.1|2|0|3|4.66|1.642|28|8|0|0|51
Shawn Dubin|2 Tms|33.2|2|0|8|5.08|1.446|28|6|0|0|30
Paxton Schultz|TOR|24.2|0|0|0|4.38|1.446|28|4|0|2|13
Roki Sasaki|LAD|36.1|1|0|2|4.46|1.440|28|6|1|8|10
Matt Gage|2 Tms|31|0|0|2|3.19|1.516|27|0|0|2|33
DL Hall|MIL|38.2|1|0|1|3.49|1.073|27|2|0|3|20
PJ Poulin|WSN|24.2|2|1|5|3.65|1.488|27|2|0|0|28
Bradley Blalock|COL|58.2|2|0|0|9.36|1.856|27|17|1|12|14
Pierson Ohl|MIN|30|0|0|1|5.1|1.500|27|5|0|3|14
Carson Palmquist|COL|34.1|0|0|0|8.91|2.053|27|10|0|7|9
John Brebbia|2 Tms|23.1|1|0|2|7.71|1.732|26|5|0|0|22
Marcus Stroman|NYY|39|3|0|0|6.23|1.538|26|6|1|9|9
Carson Fulmer|LAA|29.1|0|0|0|5.83|1.237|26|5|0|0|13
Max Lazar|PHI|41.1|1|1|1|4.79|1.290|26|7|0|0|36
Sawyer Gipson-Long|DET|31.1|0|0|1|7.18|1.286|26|8|0|3|8
Carson Seymour|SFG|36|1|0|1|4.75|1.389|26|9|0|3|16
Brooks Raley|NYM|25.2|3|0|10|2.45|0.794|25|0|0|0|30
Yimi García|TOR|21|1|3|6|3.86|1.190|25|2|0|0|22
Nabil Crismatt|ARI|34|3|0|0|3.71|1.441|25|6|1|5|8
Jonathan Loáisiga|NYY|29.2|0|1|7|4.25|1.507|25|7|0|0|30
Manuel Rodríguez|TBR|30.1|1|0|11|2.08|1.063|25|2|0|0|31
Ryan Feltner|COL|30.1|0|0|0|4.75|1.495|25|4|2|6|6
Max Kranick|NYM|37|3|0|5|3.65|1.054|25|5|0|0|24
Ryan Rolison|COL|42.1|1|0|0|7.02|1.781|25|11|0|1|31
Sean Reynolds|SDP|27|0|0|2|5.33|1.370|25|4|0|1|19
Evan Sisk|2 Tms|17.2|1|0|2|3.57|1.512|25|1|0|0|19
Justin Slaten|BOS|34|2|3|6|4.24|1.088|25|3|0|0|36
Orlando Ribalta|WSN|24.1|0|0|0|7.03|1.867|25|6|0|0|22
Wikelman González|CHW|20.1|1|0|1|2.66|1.244|25|1|0|0|16
Anthony Veneziano|2 Tms|25|0|0|4|4.68|1.560|25|4|0|1|26
Tayler Scott|2 Tms|27.1|1|0|3|7.9|1.919|24|6|0|0|24
Joel Payamps|2 Tms|26.1|0|1|4|6.84|1.533|24|4|0|0|30
John Curtiss|ARI|36.2|3|1|3|3.93|0.939|24|5|0|0|30
Matt Sauer|LAD|29.2|2|1|0|6.37|1.473|24|6|0|1|10
Collin Snider|SEA|26.1|2|0|4|5.47|1.456|24|3|0|0|24
Kade Strowd|BAL|26.1|0|0|5|1.71|1.111|24|1|0|0|25
Anthony Molina|COL|34.2|1|0|0|7.27|1.696|24|12|0|1|17
Zach Brzykcy|WSN|23|0|0|0|9|1.739|24|6|0|0|26
Mitch Farris|LAA|24.1|1|0|0|6.66|1.452|24|4|1|5|5
Justin Lawrence|PIT|17.2|1|0|6|0.51|0.988|23|0|0|0|17
Jake Woodford|ARI|36.1|0|3|2|6.44|1.607|23|3|0|0|22
Corbin Martin|BAL|18|1|2|1|6|1.722|23|4|0|0|17
Justin Hagenman|NYM|23.2|0|1|0|4.56|1.121|23|4|0|1|9
Javier Assad|CHC|37|4|0|0|3.65|1.216|23|3|2|7|8
Eduardo Salazar|WSN|29|0|0|2|8.38|2.172|23|7|0|0|30
Easton Lucas|TOR|24.1|3|0|0|6.66|1.535|23|5|0|5|6
