name|team|ip|w|sv|hld|era|whip|so|hr|qs|gs|g
Chris Devenski|NYM|16.2|0|0|2|2.16|0.926|14|1|0|1|13
A.J. Minter|NYM|11|0|0|7|1.64|1.000|14|0|0|0|13
Tyler Zuber|2 Tms|12|0|0|1|11.25|1.917|14|3|0|0|10
Colin Selby|BAL|14|0|0|0|3.21|1.286|14|2|0|0|11
Roddery Muñoz|STL|11|0|0|0|8.18|1.636|14|4|0|0|9
Trevor McDonald|SFG|15|1|0|0|1.8|1.000|14|1|2|2|3
Juan Burgos|2 Tms|13.1|1|0|3|6.08|1.908|14|2|0|0|13
Victor Mederos|LAA|17|0|0|0|7.41|1.765|14|4|0|3|5
Brandyn Garcia|2 Tms|14.1|0|0|2|5.65|1.844|14|0|0|0|14
Lucas Sims|WSN|12.1|1|0|1|13.86|2.314|13|2|0|0|18
Easton McGee|MIL|14.2|0|0|0|5.52|1.408|13|1|0|0|9
Penn Murfee|CHW|12.2|0|0|2|7.82|1.967|13|3|0|0|15
Luis Contreras|HOU|12|0|0|1|6.75|1.583|13|2|0|0|9
Chase Silseth|LAA|11|0|0|1|1.64|1.455|13|1|0|0|10
Jordan Wicks|CHC|14.1|0|1|0|6.28|1.773|13|2|0|0|8
Zach Maxwell|CIN|10|0|0|0|4.5|1.400|13|3|0|0|8
Liam Hendriks|BOS|13.2|0|0|0|6.59|1.439|12|2|0|0|14
Jon Gray|TEX|14|1|0|0|7.71|1.500|12|5|0|0|6
Michael Kopech|LAD|11|0|0|6|2.45|1.727|12|0|0|0|14
Tayler Saucedo|SEA|13.1|0|0|0|7.43|1.908|12|2|0|0|10
Richard Lovelady|2 Tms|11.2|0|0|2|8.49|1.607|12|3|0|0|10
Forrest Whitley|2 Tms|12|0|0|0|13.5|2.250|12|3|0|0|10
Ron Marinaccio|SDP|10.2|0|0|0|0.84|0.980|12|0|0|0|7
Hunter Bigge|TBR|15|0|0|1|2.4|1.067|12|4|0|0|13
Sam Aldegheri|LAA|13.2|0|0|0|7.9|2.273|12|3|0|2|4
Jared Shuster|CHW|15.2|0|0|0|8.04|2.105|12|0|0|2|12
Andrew Hoffmann|2 Tms|12|1|0|3|6|2.000|12|2|0|0|11
Didier Fuentes|ATL|13|0|0|0|13.85|2.231|12|6|0|4|4
Hunter Harvey|KCR|10.2|1|0|5|0|0.686|11|0|0|0|12
Nick Hernandez|HOU|10.2|0|0|0|5.06|1.961|11|3|0|0|10
Shaun Anderson|LAA|11.1|1|0|0|10.32|2.072|11|6|0|0|7
Sean Hjelle|SFG|15|1|0|0|7.8|2.000|11|2|0|1|12
Mason Thompson|WSN|10.2|1|0|0|11.81|2.745|11|1|0|0|14
Eduarniel Núñez|2 Tms|12.2|1|0|0|7.11|1.967|11|2|0|0|10
Carson Spiers|CIN|13.1|0|0|0|6.08|1.527|11|3|1|2|3
Albert Suárez|BAL|11.2|2|0|0|2.31|0.982|10|0|0|1|5
Kyle Gibson|BAL|12.1|0|0|0|16.78|2.975|10|7|0|4|4
Robert Stephenson|LAA|10|2|0|0|2.7|1.000|10|1|0|0|12
Jesus Tinoco|MIA|19.1|2|4|4|5.12|1.309|10|1|0|0|20
Nick Anderson|COL|14.2|0|0|0|6.14|1.338|10|3|0|0|12
Connor Seabold|2 Tms|10.1|0|0|0|4.35|1.782|10|1|0|0|7
Luarbert Arias|MIA|10.1|0|0|0|11.32|2.178|10|2|0|0|7
Bailey Horn|DET|11.1|0|0|0|1.59|1.622|10|1|0|0|10
Andry Lara|WSN|14.1|0|0|0|8.79|2.482|10|2|0|0|9
Luis Guerrero|BOS|17.1|0|0|0|4.15|1.345|10|0|0|0|13
Blade Tidwell|NYM|15|1|0|0|9|2.200|10|4|0|2|4
Kendall Graveman|ARI|17.2|1|0|1|7.13|2.035|9|2|0|0|19
Sauryn Lao|2 Tms|11|1|0|0|4.91|1.455|9|2|0|0|8
Josh Winckowski|BOS|11.2|0|0|0|3.86|1.429|9|0|0|0|6
Keaton Winn|SFG|10|0|0|0|4.5|1.400|9|1|0|0|7
Cooper Criswell|BOS|17.2|1|1|0|3.57|1.628|9|3|1|1|7
Davis Daniel|ATL|10|0|0|0|5.4|1.600|9|1|0|2|3
Scott Alexander|2 Tms|17.2|1|0|3|6.11|1.860|8|5|0|0|21
Alan Rangel|PHI|11|0|1|0|2.45|1.455|8|1|0|0|5
Sean Guenther|DET|10.1|0|0|2|5.23|1.485|8|0|0|1|9
Brady Basso|ATH|11.2|1|0|2|2.31|1.875|8|0|0|1|11
Sammy Peralta|LAA|10.2|0|0|0|7.59|1.961|8|0|0|0|5
Jayden Murray|HOU|11.2|0|0|2|1.54|1.161|8|0|0|1|9
Ryan Loutos|2 Tms|12|1|0|0|12.75|2.333|8|4|0|0|12
T.J. McFarland|ATH|15.2|0|0|7|6.89|1.908|7|2|0|0|27
Wade Miley|CIN|12|1|0|0|6.75|1.750|7|3|0|2|3
Casey Lawrence|2 Tms|17.2|1|0|0|4.08|1.570|7|2|0|0|6
Nate Pearson|CHC|14.2|0|0|1|9.2|2.254|7|2|0|0|11
Ben Bowden|ATH|10.2|0|0|0|4.22|1.373|7|2|0|0|11
Logan VanWey|HOU|10.2|0|0|0|5.06|1.765|7|2|0|0|9
Kevin Herget|2 Tms|13|0|0|0|2.77|1.308|6|0|0|0|7
Scott Effross|NYY|10.2|0|0|0|8.44|1.863|6|1|0|0|11
Roansy Contreras|2 Tms|12.2|0|0|0|5.68|1.148|6|3|0|0|5
Joey Estes|ATH|11|0|0|0|9.82|2.000|6|4|0|2|3
Garrett McDaniels|LAA|10.2|0|0|1|5.91|2.059|6|2|0|0|10
Erasmo Ramírez|MIN|11|0|1|0|2.45|1.091|5|2|0|0|9
Dugan Darnell|COL|11.2|1|0|0|3.86|1.518|5|1|0|0|9
Dylan Smith|DET|13|1|0|0|1.38|0.846|4|0|0|0|7
