name|team|ip|w|sv|hld|era|whip|so|hr|qs
Randy Vásquez|SDP|17.7|1|0|0|1.02|1.08|19|1|2
Anthony Nunez|BAL|8.7|0|0|3|1.04|0.58|11|1|0
Gregory Soto|PIT|8.7|0|1|3|1.04|0.81|13|1|0
Gordon Graceffo|STL|8.3|1|0|1|1.08|0.96|5|0|0
Casey Legumina|SEA|8.3|0|0|0|1.08|1.08|7|0|0
Grant Taylor|CHW|8.3|0|0|1|1.08|0.96|10|0|0
Tim Hill|NYY|8.0|0|0|3|1.13|0.63|3|0|0
Andrew Hoffmann|ARI|8.0|1|0|0|1.13|1.13|8|1|0
Bryan King|HOU|8.0|0|1|2|1.13|1.25|11|0|0
Drew Rasmussen|TBR|16.0|1|0|0|1.13|0.56|17|2|1
Dennis Santana|PIT|8.0|2|1|2|1.13|0.75|6|0|0
Will Klein|LAD|7.7|1|0|0|1.17|1.17|9|0|0
Dylan Lee|ATL|7.7|0|0|1|1.17|0.65|7|0|0
Tanner Scott|LAD|7.7|0|0|3|1.17|0.65|8|1|0
Brock Burke|CIN|7.3|1|1|1|1.23|0.82|7|0|0
Matt Gage|SFG|7.3|1|0|1|1.23|1.09|6|0|0
Connor Seabold|DET|7.3|0|0|0|1.23|1.23|7|1|0
Taj Bradley|MIN|21.7|3|0|0|1.25|1.25|29|0|2
Brennan Bernardino|COL|7.0|1|0|1|1.29|1.29|5|0|0
Caleb Kilian|SFG|7.0|0|0|1|1.29|0.86|10|1|0
Tyler Kinley|ATL|7.0|2|0|0|1.29|0.86|5|0|0
Robert Suarez|ATL|7.0|2|0|2|1.29|1.14|8|0|0
Eduard Bazardo|SEA|6.7|0|0|1|1.35|1.2|6|0|0
Jhoan Duran|PHI|6.7|1|5|0|1.35|0.75|8|0|0
Luis Medina|ATH|6.7|0|0|0|1.35|1.2|8|1|0
Brooks Raley|NYM|6.7|0|0|2|1.35|0.9|9|0|0
Jaden Hill|COL|6.3|0|0|1|1.42|0.79|6|0|0
Daniel Lynch IV|KCR|6.3|0|0|1|1.42|0.79|8|0|0
Jeffrey Springs|ATH|24.7|3|0|0|1.46|0.77|20|0|3
Aroldis Chapman|BOS|6.0|0|3|0|1.5|0.67|6|0|0
Clay Holmes|NYM|18.0|2|0|0|1.5|1.11|12|1|1
Seth Lugo|KCR|17.7|1|0|0|1.53|1.08|14|0|2
Yohan Ramírez|PIT|11.7|2|0|1|1.54|0.94|13|0|0
Yennier Cano|BAL|5.7|1|0|2|1.59|0.53|8|0|0
Fernando Cruz|NYY|5.7|1|0|3|1.59|1.24|8|0|0
Enyel De Los Santos|HOU|5.7|0|1|0|1.59|0.88|4|1|0
Ryan Yarbrough|NYY|5.7|0|0|0|1.59|1.06|4|0|0
Edward Cabrera|CHC|16.7|1|0|0|1.62|1.14|13|0|1
Hunter Bigge|TBR|5.3|0|0|3|1.69|1.13|2|1|0
